Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),17.79,0.41,576.67,1495671.55,0.83,1.45,2.12,4.09,8.40,18.07,40.76,66.83,150.07,29.87
Decode Duration (ms),0.53,0.00,124.38,44526.27,0.00,0.00,0.00,0.00,0.00,0.39,1.44,2.54,6.70,1.87
Effective Concurrency,54.29,0.00,125.00,,,,,,60.00,,83.00,89.00,106.00,25.84
Effective Decode Concurrency,0.99,0.00,14.00,,,,,,1.00,,3.00,4.00,5.00,1.28
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),46.91,6.40,855.98,3943640.14,12.32,15.94,18.53,24.08,33.01,48.87,86.94,130.76,251.87,47.07
Effective Prefill Concurrency,53.30,0.00,125.00,,,,,,59.00,,82.00,88.00,106.00,25.48
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.42,1.00,4.00,119311.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.59
HTTP Chunks Sent,1.00,1.00,1.00,84077.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,104.76,2562.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10
HTTP Connection Overhead (ms),0.04,0.00,140.51,2950.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32
HTTP Connection Reused (ratio),1.00,0.00,1.00,83939.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,980104.64,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1437529.80,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,35.75,388.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
HTTP Duration (excl. conn) (ms),28.85,4.82,417.08,2426002.99,9.11,11.71,13.47,17.27,23.03,31.64,46.93,66.56,128.98,22.80
HTTP Receiving (ms),0.53,0.00,124.37,44904.05,0.00,0.00,0.00,0.00,0.00,0.40,1.45,2.56,6.75,1.87
HTTP Sending (ms),0.61,0.05,109.68,50983.19,0.07,0.10,0.11,0.14,0.19,0.26,0.98,2.21,8.69,2.28
HTTP Total Time (ms),28.89,4.82,417.08,2428953.89,9.11,11.71,13.47,17.27,23.04,31.65,46.99,66.81,129.64,22.90
HTTP Waiting (TTFB) (ms),27.71,4.60,415.80,2330115.75,8.54,11.10,12.77,16.45,21.98,30.39,45.41,64.24,126.21,22.28
Inter Chunk Latency (ms),0.01,0.00,124.38,44526.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
Request Latency (ms),29.11,4.93,417.15,2447732.03,9.22,11.82,13.60,17.41,23.21,31.89,47.39,67.58,130.05,23.03
Time to First Output Token (ms),28.58,4.93,417.15,2403205.76,8.88,11.47,13.20,16.95,22.61,31.23,46.92,67.20,129.76,23.02
Time to First Token (ms),28.58,4.93,417.15,2403205.76,8.88,11.47,13.20,16.95,22.61,31.23,46.92,67.20,129.76,23.02
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.08
Request Count,84077.00
Request Throughput (requests/sec),1864.79


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
