Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),11.79,0.37,244.94,807687.41,0.76,1.22,1.79,3.42,6.88,14.24,27.19,39.22,71.85,14.57
Decode Duration (ms),0.72,0.00,57.93,49175.38,0.00,0.00,0.00,0.00,0.00,0.50,2.01,3.65,9.69,2.03
Effective Concurrency,102.74,0.00,128.00,,,,,,104.00,,120.00,123.00,128.00,14.53
Effective Decode Concurrency,1.11,0.00,28.00,,,,,,0.00,,3.00,4.00,8.00,1.76
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),79.29,6.54,353.22,5432498.68,27.85,48.36,56.16,65.81,76.70,89.20,105.32,119.04,158.28,23.42
Effective Prefill Concurrency,101.63,0.00,128.00,,,,,,103.00,,119.00,123.00,128.00,14.69
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.44,1.00,4.00,98904.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,68514.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,46.32,1740.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71
HTTP Connection Overhead (ms),0.03,0.00,72.86,1995.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88
HTTP Connection Reused (ratio),1.00,0.00,1.00,68376.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,798683.22,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1171439.71,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,26.96,254.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
HTTP Duration (excl. conn) (ms),67.31,5.84,263.22,4611857.40,24.13,41.19,48.73,57.78,67.16,76.90,86.30,92.64,109.89,16.25
HTTP Receiving (ms),0.73,0.00,57.93,49853.18,0.00,0.00,0.00,0.00,0.00,0.52,2.03,3.69,9.80,2.04
HTTP Sending (ms),0.45,0.05,53.46,30676.03,0.07,0.09,0.11,0.14,0.18,0.24,0.81,1.72,5.10,1.27
HTTP Total Time (ms),67.34,5.84,263.22,4613852.88,24.13,41.19,48.73,57.79,67.17,76.92,86.32,92.70,110.31,16.34
HTTP Waiting (TTFB) (ms),66.14,5.58,263.11,4531328.19,23.75,40.30,47.72,56.73,66.07,75.62,84.85,90.90,107.25,16.01
Inter Chunk Latency (ms),0.01,0.00,57.93,49175.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31
Request Latency (ms),67.49,5.89,263.30,4624106.25,24.20,41.36,48.91,57.96,67.33,77.08,86.50,92.92,110.19,16.28
Time to First Output Token (ms),66.77,5.74,263.30,4574930.87,23.98,40.79,48.39,57.32,66.67,76.27,85.56,91.80,109.09,16.14
Time to First Token (ms),66.77,5.74,263.30,4574930.87,23.98,40.79,48.39,57.32,66.67,76.27,85.56,91.80,109.09,16.14
Time to Second Token (ms),0.00,0.00,2.09,7.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,68514.00
Request Throughput (requests/sec),1522.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
