Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),20.33,0.39,457.81,1638100.31,0.85,1.57,2.35,4.49,9.21,20.65,49.23,82.31,165.13,32.08
Decode Duration (ms),0.03,0.00,47.20,2361.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.37
Effective Concurrency,46.04,0.00,128.00,,,,,,48.00,,72.00,78.00,91.00,21.36
Effective Decode Concurrency,0.12,0.00,5.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),46.07,6.58,581.23,3712843.38,11.70,14.75,16.86,21.42,29.69,47.65,92.27,142.22,263.09,48.79
Effective Prefill Concurrency,45.92,0.00,127.00,,,,,,48.00,,72.00,77.00,91.00,21.31
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.07,1.00,5.00,86129.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.26
HTTP Chunks Sent,1.00,1.00,1.00,80590.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,86.76,1029.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52
HTTP Connection Overhead (ms),0.02,0.00,86.76,1214.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64
HTTP Connection Reused (ratio),1.00,0.00,1.00,80452.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,963066.24,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1377904.28,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,32.93,184.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),25.46,4.65,323.15,2051609.91,8.37,10.49,11.83,14.67,19.31,27.66,44.81,64.01,112.48,20.24
HTTP Receiving (ms),0.07,0.00,50.24,5445.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.62,0.58
HTTP Sending (ms),0.64,0.05,86.98,51866.45,0.07,0.09,0.11,0.14,0.19,0.26,1.02,2.50,9.76,2.33
HTTP Total Time (ms),25.47,4.65,323.15,2052824.25,8.37,10.49,11.83,14.67,19.31,27.67,44.86,64.09,112.76,20.28
HTTP Waiting (TTFB) (ms),24.75,4.54,281.36,1994298.33,8.04,10.14,11.48,14.28,18.83,26.96,43.48,61.99,108.88,19.62
Inter Chunk Latency (ms),0.00,0.00,47.20,2361.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),25.71,4.70,323.21,2071662.88,8.45,10.58,11.92,14.78,19.45,27.89,45.35,64.88,114.37,20.54
Time to First Output Token (ms),25.68,4.70,323.21,2069301.20,8.37,10.53,11.89,14.74,19.41,27.87,45.32,64.88,114.37,20.55
Time to First Token (ms),25.68,4.70,323.21,2069301.20,8.37,10.53,11.89,14.74,19.41,27.87,45.32,64.88,114.37,20.55
Time to Second Token (ms),0.00,0.00,1.74,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.06
Request Count,80590.00
Request Throughput (requests/sec),1788.46


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
