Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),344909.95,0.00,3507836.62,,,,,,275734.46,,730666.53,913251.04,1313823.76,289034.43
Active Decode Throughput Per User (tokens/sec/user),193280.41,0.00,2602441.66,,,,,,181208.87,,351740.04,417058.66,570375.07,127138.38
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),127471.20,0.00,2158464.86,,,,,,0.00,,438480.69,607744.35,965915.90,223790.50
Credit-to-Start Latency (ms),3.23,0.83,45.87,73277.15,1.11,1.33,1.56,2.04,2.80,3.96,5.40,6.51,9.10,1.76
Decode Duration (ms),0.82,0.00,18.65,18657.76,0.00,0.00,0.00,0.00,0.00,1.28,2.54,3.59,6.51,1.45
E2E Output Token Throughput (tokens/sec/user),11149.05,15.87,107691.82,252849222.72,118.48,170.24,215.10,465.91,2554.95,20185.05,32816.93,40836.65,57758.43,14662.88
Effective Concurrency,7.48,0.00,43.00,,,,,,4.00,,20.00,23.00,29.00,8.38
Effective Decode Concurrency,0.42,0.00,11.00,,,,,,0.00,,2.00,2.00,4.00,0.97
Effective Decode Throughput (tokens/sec),79435.51,0.00,3507836.62,,,,,,0.00,,316959.12,516469.31,946628.80,200818.44
Effective Decode Throughput Per User (tokens/sec/user),44513.68,0.00,2602441.66,,,,,,0.00,,202040.57,279972.44,429838.37,101709.70
Effective Latency (CO-aware) (ms),18.08,5.63,191.54,409932.38,8.20,10.01,11.26,13.86,17.25,21.34,25.57,28.39,35.95,6.44
Effective Prefill Concurrency,7.06,0.00,43.00,,,,,,3.00,,20.00,23.00,29.00,8.36
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),79689.15,0.00,2158464.86,,,,,,0.00,,309062.80,496323.53,865069.72,187394.77
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3.15,1.00,59.00,71330.00,1.00,1.00,1.00,1.00,2.00,4.00,8.00,11.00,17.00,3.69
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,17.59,210.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Connection Overhead (ms),0.01,0.00,28.30,318.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
HTTP Connection Reused (ratio),1.00,0.00,1.00,22632.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.06,0.50,465.11,908455.12,0.96,0.96,0.96,0.96,6.77,78.83,115.55,136.72,197.18,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.00,0.00,10.71,108.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
HTTP Duration (excl. conn) (ms),14.72,3.57,188.93,333939.57,6.10,7.38,8.33,10.58,13.76,17.71,22.03,24.94,32.90,6.27
HTTP Receiving (ms),0.84,0.00,18.65,19133.40,0.00,0.00,0.00,0.00,0.16,1.31,2.56,3.60,6.52,1.45
HTTP Sending (ms),0.26,0.06,18.21,5976.40,0.13,0.16,0.17,0.19,0.21,0.24,0.28,0.38,1.59,0.38
HTTP Total Time (ms),14.74,3.57,188.93,334258.13,6.10,7.38,8.34,10.58,13.76,17.72,22.05,25.02,32.96,6.30
HTTP Waiting (TTFB) (ms),13.62,3.21,187.82,308829.78,5.60,6.85,7.68,9.74,12.64,16.33,20.46,23.16,31.27,5.93
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.00,0.00,16.85,18657.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.08
Inter Token Latency (ms),0.00,0.00,0.20,65.19,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Count (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Throughput Per User (tokens/sec/user),222860.10,4897.87,751917.17,2441209586.63,41354.67,82945.92,103268.05,145029.05,214140.51,282913.14,349454.50,404547.75,541484.08,102404.68
Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),14.83,3.51,189.05,336291.26,6.20,7.48,8.43,10.68,13.86,17.81,22.15,25.04,32.99,6.27
Time to First Output Token (ms),14.01,3.51,189.05,317633.50,5.95,7.23,8.07,10.13,13.03,16.72,20.88,23.57,31.60,5.93
Time to First Token (ms),14.01,3.51,189.05,317633.50,5.95,7.23,8.07,10.13,13.03,16.72,20.88,23.57,31.60,5.93
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),104.60,0.00,3645.00,,,,,,0.00,,412.00,687.00,1287.00,266.80
Usage Completion Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Usage Prompt Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86

Metric,Value
Benchmark Duration (sec),44.93
Input Token Throughput (tokens/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86280.45
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),3.40
Replay Schedule Lag p90 (ms),6.39
Replay Schedule Lag p99 (ms),10.35
Request Count,22679.00
Request Throughput (requests/sec),503.97
Total Input Sequence Length (tokens),0.00
Total Output Sequence Length (tokens),3882702.00
Total Output Tokens (tokens),3882702.00
Total Token Throughput (tokens/sec),86280.45
Total Usage Completion Tokens (tokens),3882702.00
Total Usage Prompt Tokens (tokens),0.00
Total Usage Total Tokens (tokens),3882702.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
