Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),506378.63,0.00,3796089.46,,,,,,401261.91,,1085437.95,1357396.58,1960015.46,431449.00
Active Decode Throughput Per User (tokens/sec/user),304872.04,0.00,2597490.50,,,,,,298574.19,,550650.59,630844.93,796401.79,189892.31
Active Prefill Throughput (tokens/sec),7879349.09,34645.71,26666879.93,,,,,,7834462.54,,14347069.82,16152307.10,19813454.13,4890184.11
Active Prefill Throughput Per User (tokens/sec/user),688267.01,30397.60,2929687.50,,,,,,643270.99,,1012504.08,1224104.48,1918137.94,308933.02
Active Total Throughput (tokens/sec),7550056.41,1414.08,26666879.93,,,,,,7497328.07,,14246693.54,16072560.21,19762600.16,5033557.24
Credit-to-Start Latency (ms),3.28,0.88,47.61,74358.10,1.15,1.38,1.63,2.08,2.78,3.97,5.49,6.62,9.32,1.96
Decode Duration (ms),0.44,0.00,251.05,9924.77,0.00,0.00,0.00,0.00,0.00,0.63,1.31,1.79,3.42,2.15
E2E Output Token Throughput (tokens/sec/user),14710.30,45.98,159512.50,333894371.79,140.50,227.98,278.07,547.27,3125.79,27208.69,43331.46,53365.70,74772.85,19355.30
Effective Concurrency,5.76,0.00,46.00,,,,,,0.00,,19.00,23.00,28.00,8.19
Effective Decode Concurrency,0.23,0.00,13.00,,,,,,0.00,,1.00,2.00,3.00,0.67
Effective Decode Throughput (tokens/sec),71079.11,0.00,3796089.46,,,,,,0.00,,232577.08,551544.61,1217838.33,238892.23
Effective Decode Throughput Per User (tokens/sec/user),42793.63,0.00,2597490.50,,,,,,0.00,,194358.33,365024.01,589797.03,127580.38
Effective Latency (CO-aware) (ms),14.70,5.67,270.51,333554.50,7.73,9.07,10.01,11.69,13.90,16.66,19.95,22.54,31.73,5.04
Effective Prefill Concurrency,5.53,0.00,45.00,,,,,,0.00,,19.00,22.00,28.00,8.13
Effective Prefill Throughput (tokens/sec),3473942.86,0.00,26666879.93,,,,,,0.00,,11674113.23,14048376.84,18102014.35,5084051.50
Effective Prefill Throughput Per User (tokens/sec/user),303451.49,0.00,2929687.50,,,,,,0.00,,828232.99,980459.06,1552245.04,398561.68
Effective Total Throughput (tokens/sec),3545281.22,0.00,26666879.93,,,,,,0.00,,11739162.12,14102561.25,18172261.94,5108366.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.71,1.00,12.00,38909.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,5.00,0.97
HTTP Chunks Sent,1.00,1.00,1.00,22698.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,14.79,208.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
HTTP Connection Overhead (ms),0.01,0.00,22.41,303.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Connection Reused (ratio),1.00,0.00,1.00,22649.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.05,0.50,465.12,909088.57,0.97,0.97,0.97,0.97,6.78,78.83,115.55,136.71,197.14,53.42
