Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),341268.33,0.00,3896158.54,,,,,,265997.03,,742443.09,933521.49,1355221.28,300520.84
Active Decode Throughput Per User (tokens/sec/user),233974.53,0.00,3896158.54,,,,,,190207.40,,496378.14,610746.15,874072.93,197168.02
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),85697.38,0.00,2594022.87,,,,,,0.00,,343389.83,514258.58,911159.04,198497.26
Credit-to-Start Latency (ms),12.15,0.81,171.81,275535.30,1.10,1.39,1.68,2.55,4.36,9.05,42.06,48.18,84.48,18.52
Decode Duration (ms),0.60,0.00,39.32,13519.14,0.00,0.00,0.00,0.00,0.00,0.59,1.87,2.99,6.78,1.58
E2E Output Token Throughput (tokens/sec/user),8612.71,12.76,153132.77,195327645.70,71.06,110.64,145.27,360.23,1846.89,14835.27,25595.08,32961.15,50671.94,12060.22
Effective Concurrency,10.74,0.00,65.00,,,,,,9.00,,24.00,29.00,41.00,9.95
Effective Decode Concurrency,0.32,0.00,16.00,,,,,,0.00,,1.00,2.00,4.00,0.83
Effective Decode Throughput (tokens/sec),66929.10,0.00,3896158.54,,,,,,0.00,,259939.84,476082.05,928428.19,189929.58
Effective Decode Throughput Per User (tokens/sec/user),45886.15,0.00,3896158.54,,,,,,0.00,,185766.54,329111.73,607524.24,127493.95
Effective Latency (CO-aware) (ms),33.45,6.57,207.29,758681.12,10.51,13.63,15.48,19.60,25.79,37.11,64.69,81.04,119.49,22.47
Effective Prefill Concurrency,10.42,0.00,65.00,,,,,,9.00,,23.00,29.00,40.00,9.87
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),67609.08,0.00,2594022.87,,,,,,0.00,,279302.86,455745.90,855130.31,179743.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.74,1.00,41.00,39528.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,7.00,1.39
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,38.93,480.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56
HTTP Connection Overhead (ms),0.03,0.00,54.75,642.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79
HTTP Connection Reused (ratio),1.00,0.00,1.00,22601.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),41.07,0.51,476.84,931338.21,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.17,202.15,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.01,0.00,23.94,162.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
HTTP Duration (excl. conn) (ms),21.18,4.06,120.50,480296.50,7.37,9.52,11.12,14.40,19.14,25.52,33.90,39.68,53.52,9.93
HTTP Receiving (ms),0.63,0.00,39.32,14264.35,0.00,0.00,0.00,0.00,0.00,0.66,1.92,3.07,6.84,1.59
HTTP Sending (ms),0.31,0.06,39.19,7020.57,0.10,0.14,0.16,0.18,0.21,0.24,0.33,0.79,2.48,0.70
HTTP Total Time (ms),21.21,4.06,130.83,480939.04,7.37,9.52,11.12,14.40,19.14,25.52,33.96,39.76,54.08,10.03
HTTP Waiting (TTFB) (ms),20.24,3.71,120.32,459011.58,6.93,8.92,10.47,13.65,18.22,24.38,32.74,38.56,51.30,9.71
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.00,0.00,36.98,13519.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Inter Token Latency (ms),0.00,0.00,0.13,34.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Count (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Throughput Per User (tokens/sec/user),358697.78,7429.01,1816464.43,2609167668.79,35467.19,77788.53,111602.33,194195.55,324432.73,469918.27,653790.98,782451.47,1037369.96,221134.63
Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),21.27,4.37,120.59,482395.42,7.46,9.63,11.22,14.49,19.24,25.59,34.05,39.75,53.71,9.93
Time to First Output Token (ms),20.67,4.24,120.59,468876.28,7.26,9.30,10.87,14.05,18.64,24.84,33.23,39.08,52.07,9.75
Time to First Token (ms),20.67,4.24,120.59,468876.28,7.26,9.30,10.87,14.05,18.64,24.84,33.23,39.08,52.07,9.75
Time to Second Token (ms),0.00,0.00,0.58,1.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),83.16,0.00,4498.00,,,,,,0.00,,308.00,547.00,1194.00,246.06
Usage Completion Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Usage Prompt Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86

Metric,Value
Benchmark Duration (sec),44.94
Input Token Throughput (tokens/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86271.22
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),5.07
Replay Schedule Lag p90 (ms),42.54
Replay Schedule Lag p99 (ms),85.07
Request Count,22679.00
Request Throughput (requests/sec),503.91
Total Input Sequence Length (tokens),0.00
