Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),17.73,0.37,534.12,1237472.25,0.76,1.32,1.95,3.73,7.55,16.42,39.78,69.68,171.61,32.70
Decode Duration (ms),0.17,0.00,71.72,11988.83,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.66,2.72,1.03
Effective Concurrency,25.30,0.00,95.00,,,,,,17.00,,56.00,61.00,70.00,20.57
Effective Decode Concurrency,0.27,0.00,9.00,,,,,,0.00,,1.00,1.00,2.00,0.58
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),34.06,4.30,722.83,2377606.21,6.81,8.47,9.63,12.47,18.23,31.63,68.81,116.92,275.50,50.62
Effective Prefill Concurrency,25.03,0.00,95.00,,,,,,17.00,,56.00,60.00,69.00,20.40
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.25,1.00,4.00,87549.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,0.48
HTTP Chunks Sent,1.00,1.00,1.00,69801.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,211.57,4743.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.45
HTTP Connection Overhead (ms),0.08,0.00,398.52,5489.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15
HTTP Connection Reused (ratio),1.00,0.00,1.00,69664.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,813686.07,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,45618.33,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,186.95,746.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04
HTTP Duration (excl. conn) (ms),16.08,3.22,378.22,1122170.33,4.89,5.77,6.35,7.64,9.97,15.21,29.22,47.17,112.84,20.42
HTTP Receiving (ms),0.17,0.00,71.71,12132.45,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.66,2.73,1.03
HTTP Sending (ms),0.65,0.05,211.89,45407.86,0.07,0.09,0.10,0.13,0.18,0.25,0.82,2.09,9.76,3.44
HTTP Total Time (ms),16.16,3.22,631.11,1127660.16,4.89,5.77,6.35,7.64,9.97,15.21,29.31,47.31,114.35,21.12
HTTP Waiting (TTFB) (ms),15.25,2.86,378.04,1064630.01,4.46,5.34,5.91,7.17,9.45,14.51,27.84,45.03,107.46,19.56
Inter Chunk Latency (ms),0.00,0.00,71.72,11988.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),16.33,3.28,378.34,1140034.04,4.97,5.87,6.46,7.76,10.13,15.48,29.78,47.78,115.07,20.73
Time to First Output Token (ms),16.16,3.07,378.34,1128045.20,4.77,5.68,6.28,7.58,9.97,15.30,29.69,47.66,114.70,20.74
Time to First Token (ms),16.16,3.07,378.34,1128045.20,4.77,5.68,6.28,7.58,9.97,15.30,29.69,47.66,114.70,20.74
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.06
Request Count,69801.00
Request Throughput (requests/sec),1548.98


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
