Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),26.21,0.33,901.43,2463820.90,0.74,1.59,2.45,4.65,9.26,21.40,59.01,115.19,277.09,54.76
Decode Duration (ms),0.14,0.00,61.71,13578.81,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.62,3.03,0.91
Effective Concurrency,43.33,0.00,123.00,,,,,,47.00,,61.00,65.00,76.00,16.82
Effective Decode Concurrency,0.31,0.00,11.00,,,,,,0.00,,1.00,2.00,3.00,0.66
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),47.07,3.16,1373.26,4425366.25,5.67,8.22,9.88,13.52,20.71,39.91,98.99,188.43,428.78,84.18
Effective Prefill Concurrency,43.02,0.00,123.00,,,,,,46.00,,61.00,65.00,75.00,16.69
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.14,1.00,5.00,107039.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.36
HTTP Chunks Sent,1.00,1.00,1.00,94018.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,46.47,1386.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54
HTTP Connection Overhead (ms),0.02,0.00,64.52,1623.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68
HTTP Connection Reused (ratio),1.00,0.00,1.00,93880.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,1095989.13,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,61445.48,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,24.83,237.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),20.57,2.38,680.18,1933631.10,3.80,5.02,5.81,7.52,10.72,18.44,40.22,70.54,169.24,33.27
HTTP Receiving (ms),0.15,0.00,61.70,14015.65,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.65,3.13,0.93
HTTP Sending (ms),0.69,0.05,181.90,64907.22,0.07,0.08,0.09,0.12,0.15,0.22,0.73,2.08,12.21,3.71
HTTP Total Time (ms),20.58,2.38,680.18,1935254.59,3.80,5.02,5.81,7.52,10.72,18.44,40.29,70.76,169.24,33.30
HTTP Waiting (TTFB) (ms),19.73,2.11,679.88,1854708.24,3.54,4.71,5.49,7.16,10.27,17.72,38.58,68.14,163.50,32.19
Inter Chunk Latency (ms),0.00,0.00,61.71,13578.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
Request Latency (ms),20.86,2.43,680.27,1961087.00,3.86,5.10,5.90,7.62,10.84,18.66,41.02,72.10,171.56,33.71
Time to First Output Token (ms),20.71,2.28,680.27,1947508.19,3.75,4.96,5.77,7.48,10.70,18.50,40.85,72.06,171.56,33.73
Time to First Token (ms),20.71,2.28,680.27,1947508.19,3.75,4.96,5.77,7.48,10.70,18.50,40.85,72.06,171.56,33.73
Time to Second Token (ms),0.00,0.00,2.69,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.26
Request Count,94018.00
Request Throughput (requests/sec),2076.96


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
