Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.07,0.36,458.45,1955115.32,0.77,1.54,2.33,4.52,9.12,19.27,41.49,66.93,143.66,27.34
Decode Duration (ms),0.03,0.00,27.88,2871.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.29
Effective Concurrency,40.09,0.00,128.00,,,,,,46.00,,63.00,68.00,79.00,20.83
Effective Decode Concurrency,0.11,0.00,6.00,,,,,,0.00,,1.00,1.00,1.00,0.35
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),34.76,4.60,608.94,3760743.50,7.55,9.48,10.91,14.34,21.30,36.50,70.38,109.23,222.59,41.04
Effective Prefill Concurrency,39.98,0.00,128.00,,,,,,46.00,,63.00,67.00,78.00,20.77
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.06,1.00,4.00,114774.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.24
HTTP Chunks Sent,1.00,1.00,1.00,108178.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,99.89,968.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
HTTP Connection Overhead (ms),0.01,0.00,99.89,1164.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52
HTTP Connection Reused (ratio),1.00,0.00,1.00,108040.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1292748.23,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,70699.71,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,16.45,196.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
HTTP Duration (excl. conn) (ms),16.47,3.43,318.11,1781939.91,5.21,6.26,6.97,8.51,11.28,17.23,30.33,44.97,90.28,16.38
HTTP Receiving (ms),0.05,0.00,37.97,5117.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.11,0.41
HTTP Sending (ms),0.51,0.05,100.21,55214.55,0.06,0.08,0.09,0.12,0.15,0.22,0.76,1.86,7.91,1.92
HTTP Total Time (ms),16.48,3.43,318.11,1783104.17,5.21,6.26,6.97,8.51,11.28,17.23,30.34,44.98,90.67,16.43
HTTP Waiting (TTFB) (ms),15.91,3.17,279.62,1721608.06,4.94,5.99,6.69,8.21,10.92,16.68,29.32,43.34,87.34,15.85
Inter Chunk Latency (ms),0.00,0.00,27.88,2871.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Request Latency (ms),16.67,3.49,318.23,1803365.04,5.27,6.32,7.04,8.59,11.40,17.44,30.79,45.73,91.67,16.61
Time to First Output Token (ms),16.64,3.38,318.23,1800493.62,5.20,6.27,6.99,8.56,11.38,17.42,30.78,45.72,91.67,16.62
Time to First Token (ms),16.64,3.38,318.23,1800493.62,5.20,6.27,6.99,8.56,11.38,17.42,30.78,45.72,91.67,16.62
Time to Second Token (ms),0.00,0.00,1.39,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.03
Request Count,108178.00
Request Throughput (requests/sec),2401.98


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
