Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),25.84,0.44,803.66,1022393.60,0.85,1.74,2.64,5.34,11.65,25.76,59.96,101.19,216.18,45.55
Decode Duration (ms),0.03,0.00,38.33,1149.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45
Effective Concurrency,66.37,0.00,128.00,,,,,,75.00,,102.00,107.00,115.00,31.47
Effective Decode Concurrency,0.07,0.00,3.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),101.53,10.44,1140.85,4017106.86,30.97,43.57,51.07,65.72,85.77,113.45,160.21,213.13,373.21,69.27
Effective Prefill Concurrency,66.29,0.00,128.00,,,,,,75.00,,102.00,107.00,114.00,31.44
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.08,1.00,3.00,42686.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.28
HTTP Chunks Sent,1.00,1.00,1.00,39564.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,305.57,3753.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55
HTTP Connection Overhead (ms),0.11,0.00,305.57,4315.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94
HTTP Connection Reused (ratio),1.00,0.00,1.00,39426.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.95,11.95,11.95,472797.53,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,25856.49,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,64.69,562.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68
HTTP Duration (excl. conn) (ms),75.36,8.36,730.43,2981476.31,22.73,33.71,40.58,53.51,70.01,89.98,113.36,132.67,192.48,35.03
HTTP Receiving (ms),0.09,0.00,166.59,3384.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.47,1.22
HTTP Sending (ms),0.87,0.05,305.78,34251.88,0.06,0.08,0.10,0.13,0.17,0.24,1.43,3.35,13.56,4.13
HTTP Total Time (ms),75.47,8.36,730.56,2985791.80,22.73,33.73,40.59,53.51,70.03,90.01,113.54,133.05,195.02,35.39
HTTP Waiting (TTFB) (ms),74.41,8.28,730.36,2943840.03,22.22,33.15,40.01,52.89,69.28,89.01,111.84,130.50,189.47,34.30
Inter Chunk Latency (ms),0.00,0.00,38.33,1149.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Request Latency (ms),75.64,8.46,730.47,2992484.53,22.91,33.87,40.71,53.68,70.22,90.25,113.78,133.03,194.62,35.26
Time to First Output Token (ms),75.61,8.46,730.47,2991335.47,22.78,33.86,40.67,53.64,70.19,90.23,113.76,133.03,194.62,35.27
Time to First Token (ms),75.61,8.46,730.47,2991335.47,22.78,33.86,40.67,53.64,70.19,90.23,113.76,133.03,194.62,35.27
Time to Second Token (ms),0.00,0.00,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.11
Request Count,39564.00
Request Throughput (requests/sec),876.83


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
