Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),21.03,0.38,718.62,1333922.49,0.91,1.71,2.48,4.72,9.84,21.98,46.57,75.59,182.02,36.28
Decode Duration (ms),0.14,0.00,110.11,8632.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,3.30,1.14
Effective Concurrency,44.40,0.00,116.00,,,,,,49.00,,77.00,83.00,96.00,26.40
Effective Decode Concurrency,0.30,0.00,9.00,,,,,,0.00,,1.00,2.00,3.00,0.70
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),52.57,4.82,1014.77,3334850.88,9.40,14.78,18.64,26.41,38.14,57.61,93.66,137.07,289.92,54.84
Effective Prefill Concurrency,44.10,0.00,116.00,,,,,,48.00,,77.00,83.00,95.00,26.25
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.14,1.00,4.00,72304.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.36
HTTP Chunks Sent,1.00,1.00,1.00,63442.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,165.68,2382.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27
HTTP Connection Overhead (ms),0.04,0.00,246.44,2784.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.63
HTTP Connection Reused (ratio),1.00,0.00,1.00,63304.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.95,11.95,11.95,758144.29,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1084724.46,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,80.76,402.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46
HTTP Duration (excl. conn) (ms),31.23,3.80,609.37,1981149.42,6.24,9.47,12.48,18.20,25.93,36.59,51.70,67.92,131.19,24.60
HTTP Receiving (ms),0.21,0.00,110.08,13356.78,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.87,4.57,1.46
HTTP Sending (ms),0.79,0.05,180.13,49980.07,0.07,0.09,0.11,0.15,0.21,0.33,1.58,3.15,10.52,2.82
HTTP Total Time (ms),31.27,3.80,609.37,1983934.33,6.24,9.47,12.48,18.20,25.93,36.61,51.75,68.13,131.84,24.76
HTTP Waiting (TTFB) (ms),30.23,3.52,609.14,1917812.57,5.97,9.10,11.94,17.56,25.12,35.57,50.10,65.73,126.44,23.83
Inter Chunk Latency (ms),0.00,0.00,110.11,8632.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
Request Latency (ms),31.46,3.84,609.48,1996156.70,6.27,9.59,12.62,18.36,26.10,36.82,52.13,68.60,132.67,24.87
Time to First Output Token (ms),31.33,3.67,609.48,1987524.27,6.22,9.53,12.53,18.24,25.94,36.66,51.92,68.40,132.47,24.85
Time to First Token (ms),31.33,3.67,609.48,1987524.27,6.22,9.53,12.53,18.24,25.94,36.66,51.92,68.40,132.47,24.85
Time to Second Token (ms),0.00,0.00,9.20,22.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.05
Request Count,63442.00
Request Throughput (requests/sec),1407.69


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
