Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),374437.37,0.00,3839993.36,,,,,,317863.08,,766794.98,944631.19,1379574.75,302815.84
Active Decode Throughput Per User (tokens/sec/user),285636.31,0.00,2483022.79,,,,,,265684.57,,545331.90,639414.90,848930.28,197595.92
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),80496.40,0.00,3061705.78,,,,,,0.00,,335345.33,512440.42,912080.10,199137.69
Credit-to-Start Latency (ms),3.42,0.72,44.67,77468.57,1.16,1.38,1.63,2.11,2.88,4.10,5.72,7.10,11.22,2.09
Decode Duration (ms),0.43,0.00,76.21,9837.07,0.00,0.00,0.00,0.00,0.00,0.57,1.44,2.09,4.14,1.11
E2E Output Token Throughput (tokens/sec/user),8976.84,19.50,149639.73,203585680.67,77.84,107.45,139.42,393.92,1937.73,14813.45,26888.26,34912.04,53735.19,12701.37
Effective Concurrency,10.40,0.00,44.00,,,,,,10.00,,21.00,24.00,30.00,8.17
Effective Decode Concurrency,0.23,0.00,7.00,,,,,,0.00,,1.00,1.00,2.00,0.56
Effective Decode Throughput (tokens/sec),67015.10,0.00,3839993.36,,,,,,0.00,,281064.96,486336.27,914979.75,192388.63
Effective Decode Throughput Per User (tokens/sec/user),51121.05,0.00,2483022.79,,,,,,0.00,,237508.32,382877.75,626283.01,137755.20
Effective Latency (CO-aware) (ms),24.05,6.16,92.24,545434.94,8.75,10.97,12.68,16.42,23.00,30.70,36.45,40.64,48.98,9.47
Effective Prefill Concurrency,10.16,0.00,44.00,,,,,,10.00,,21.00,24.00,30.00,8.18
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),67739.11,0.00,3061705.78,,,,,,0.00,,292206.86,464708.84,868774.45,185027.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.65,1.00,21.00,37323.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,6.00,1.16
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,8.82,154.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Connection Overhead (ms),0.01,0.00,16.09,235.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
