Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),20.80,0.37,679.46,1589789.51,0.79,1.53,2.28,4.35,8.71,18.49,43.17,81.36,221.88,40.73
Decode Duration (ms),0.03,0.00,29.45,2654.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.74,0.34
Effective Concurrency,30.96,0.00,100.00,,,,,,32.00,,57.00,62.00,71.00,20.87
Effective Decode Concurrency,0.09,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),39.03,3.81,925.54,2983999.82,6.87,8.95,10.46,13.99,20.77,35.39,73.51,131.67,352.39,61.98
Effective Prefill Concurrency,30.87,0.00,100.00,,,,,,32.00,,57.00,62.00,71.00,20.83
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.07,1.00,4.00,82014.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.26
HTTP Chunks Sent,1.00,1.00,1.00,76445.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,227.30,3809.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72
HTTP Connection Overhead (ms),0.06,0.00,227.30,4205.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88
HTTP Connection Reused (ratio),1.00,0.00,1.00,76308.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,913532.68,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,49959.76,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,46.47,396.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34
HTTP Duration (excl. conn) (ms),17.95,3.07,464.08,1371950.43,4.59,5.67,6.43,8.10,11.06,17.08,31.63,52.63,138.00,24.44
HTTP Receiving (ms),0.05,0.00,51.49,4064.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,1.13,0.48
HTTP Sending (ms),0.72,0.05,227.52,54922.24,0.06,0.08,0.10,0.13,0.18,0.26,1.09,2.52,11.29,3.09
HTTP Total Time (ms),18.00,3.07,538.49,1376156.14,4.59,5.67,6.43,8.10,11.06,17.08,31.70,52.94,139.05,24.68
HTTP Waiting (TTFB) (ms),17.18,2.93,463.76,1312963.80,4.33,5.39,6.10,7.73,10.63,16.42,30.24,50.09,134.08,23.51
Inter Chunk Latency (ms),0.00,0.00,29.45,2654.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),18.22,3.06,483.52,1392796.77,4.64,5.74,6.51,8.21,11.20,17.33,32.19,53.52,139.64,24.84
Time to First Output Token (ms),18.18,3.06,483.52,1390142.67,4.59,5.70,6.46,8.17,11.16,17.30,32.18,53.50,139.64,24.85
Time to First Token (ms),18.18,3.06,483.52,1390142.67,4.59,5.70,6.46,8.17,11.16,17.30,32.18,53.50,139.64,24.85
Time to Second Token (ms),0.00,0.00,5.31,15.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.03
Request Count,76445.00
Request Throughput (requests/sec),1697.33


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
