Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.40,0.37,651.45,1231786.46,0.70,1.41,2.11,4.07,8.38,18.90,42.70,68.59,162.10,31.16
Decode Duration (ms),0.03,0.00,31.44,2004.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33
Effective Concurrency,36.23,0.00,128.00,,,,,,34.00,,68.00,75.00,95.00,24.29
Effective Decode Concurrency,0.10,0.00,6.00,,,,,,0.00,,0.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),42.87,5.54,818.44,2870857.37,9.70,13.05,15.37,20.17,28.27,45.17,81.50,120.93,266.84,47.74
Effective Prefill Concurrency,36.13,0.00,128.00,,,,,,33.00,,68.00,75.00,94.00,24.22
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.08,1.00,6.00,72069.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.27
HTTP Chunks Sent,1.00,1.00,1.00,66959.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,14.17,565.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
HTTP Connection Overhead (ms),0.01,0.00,21.52,669.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
HTTP Connection Reused (ratio),1.00,0.00,1.00,66821.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.95,11.95,11.95,800173.13,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1144865.39,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,7.92,103.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
HTTP Duration (excl. conn) (ms),24.21,4.37,396.12,1620866.84,7.30,9.53,11.01,13.97,18.55,26.60,41.29,57.07,114.24,20.19
HTTP Receiving (ms),0.07,0.00,41.57,4472.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,1.56,0.55
HTTP Sending (ms),0.66,0.05,131.33,44129.44,0.07,0.09,0.10,0.14,0.20,0.27,1.15,2.62,9.63,2.36
HTTP Total Time (ms),24.22,4.37,396.12,1621536.23,7.30,9.53,11.01,13.97,18.55,26.60,41.39,57.20,114.24,20.20
HTTP Waiting (TTFB) (ms),23.48,4.24,395.87,1572264.81,7.02,9.23,10.67,13.55,18.04,25.84,39.86,55.02,110.31,19.55
Inter Chunk Latency (ms),0.00,0.00,31.44,2004.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),24.44,4.40,396.26,1636615.96,7.34,9.59,11.09,14.07,18.70,26.84,41.77,57.74,115.67,20.43
Time to First Output Token (ms),24.41,4.40,396.26,1634611.56,7.28,9.55,11.04,14.03,18.67,26.82,41.75,57.74,115.67,20.44
Time to First Token (ms),24.41,4.40,396.26,1634611.56,7.28,9.55,11.04,14.03,18.67,26.82,41.75,57.74,115.67,20.44
Time to Second Token (ms),0.00,0.00,5.26,7.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.24
Request Count,66959.00
Request Throughput (requests/sec),1480.05


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
