Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),17.81,0.50,405.74,1170378.58,0.91,1.54,2.24,4.23,8.51,18.63,41.37,66.30,148.55,28.07
Decode Duration (ms),0.05,0.00,54.43,3038.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.97,0.44
Effective Concurrency,57.82,0.00,128.00,,,,,,63.00,,90.00,96.00,106.00,27.13
Effective Decode Concurrency,0.11,0.00,3.00,,,,,,0.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),57.53,8.49,555.16,3780056.90,16.53,22.87,26.97,35.06,46.44,63.17,94.33,131.54,257.41,43.12
Effective Prefill Concurrency,57.71,0.00,128.00,,,,,,63.00,,90.00,96.00,105.00,27.10
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.10,1.00,4.00,72581.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.31
HTTP Chunks Sent,1.00,1.00,1.00,65704.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,47.59,1342.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60
HTTP Connection Overhead (ms),0.02,0.00,87.14,1603.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81
HTTP Connection Reused (ratio),1.00,0.00,1.00,65566.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.95,11.95,11.95,785175.63,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1123397.34,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,39.55,260.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
HTTP Duration (excl. conn) (ms),39.44,4.20,359.53,2591349.70,11.69,16.70,20.14,26.68,35.56,46.68,60.67,73.58,123.16,20.85
HTTP Receiving (ms),0.07,0.00,54.42,4854.18,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.31,1.55,0.56
HTTP Sending (ms),0.66,0.06,79.22,43047.08,0.07,0.10,0.12,0.16,0.20,0.28,1.26,2.62,8.96,2.03
HTTP Total Time (ms),39.46,4.20,359.53,2592953.35,11.69,16.70,20.14,26.68,35.56,46.68,60.67,73.59,123.98,20.99
HTTP Waiting (TTFB) (ms),38.71,4.14,359.39,2543448.44,11.22,16.18,19.62,26.16,34.98,45.97,59.72,72.18,118.54,20.37
Inter Chunk Latency (ms),0.00,0.00,54.43,3038.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Request Latency (ms),39.69,4.23,359.62,2607855.10,11.83,16.84,20.27,26.85,35.74,46.91,61.04,74.27,124.70,21.05
Time to First Output Token (ms),39.64,4.23,359.62,2604817.08,11.76,16.77,20.21,26.79,35.69,46.86,61.00,74.23,124.67,21.05
Time to First Token (ms),39.64,4.23,359.62,2604817.08,11.76,16.77,20.21,26.79,35.69,46.86,61.00,74.23,124.67,21.05
Time to Second Token (ms),0.00,0.00,2.63,9.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.13
Request Count,65704.00
Request Throughput (requests/sec),1455.72


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
