Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),17.43,0.44,444.95,1384169.05,0.79,1.38,2.05,3.94,8.10,18.24,41.12,65.88,144.38,28.06
Decode Duration (ms),0.04,0.00,89.24,3367.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.86,0.46
Effective Concurrency,71.91,0.00,128.00,,,,,,76.00,,97.00,104.00,114.00,23.25
Effective Decode Concurrency,0.12,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),58.24,7.30,700.75,4625879.77,18.37,24.87,28.66,36.00,46.60,63.84,95.70,133.23,247.09,43.00
Effective Prefill Concurrency,71.78,0.00,128.00,,,,,,76.00,,97.00,103.00,113.00,23.22
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.10,1.00,5.00,87690.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.31
HTTP Chunks Sent,1.00,1.00,1.00,79434.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,44.10,1413.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59
HTTP Connection Overhead (ms),0.02,0.00,84.67,1796.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87
HTTP Connection Reused (ratio),1.00,0.00,1.00,79296.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,949251.81,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1358157.21,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,40.66,383.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Duration (excl. conn) (ms),40.56,5.68,387.18,3221881.38,13.40,18.96,22.04,28.13,36.14,46.97,61.76,75.73,127.12,21.11
HTTP Receiving (ms),0.07,0.00,89.24,5623.38,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,1.51,0.57
HTTP Sending (ms),0.59,0.05,110.94,46889.37,0.07,0.10,0.12,0.15,0.19,0.25,0.98,2.16,8.20,2.15
HTTP Total Time (ms),40.58,5.68,387.18,3223678.23,13.40,18.96,22.04,28.13,36.14,46.97,61.78,75.88,127.56,21.19
HTTP Waiting (TTFB) (ms),39.90,5.25,311.06,3169368.63,12.98,18.53,21.61,27.67,35.64,46.28,60.77,74.32,123.70,20.67
Inter Chunk Latency (ms),0.00,0.00,89.24,3367.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Request Latency (ms),40.78,5.68,387.29,3239445.99,13.49,19.07,22.17,28.26,36.30,47.17,62.12,76.27,127.69,21.29
Time to First Output Token (ms),40.74,5.47,387.29,3236078.35,13.45,19.02,22.11,28.22,36.26,47.14,62.10,76.24,127.67,21.30
Time to First Token (ms),40.74,5.47,387.29,3236078.35,13.45,19.02,22.11,28.22,36.26,47.14,62.10,76.24,127.67,21.30
Time to Second Token (ms),0.00,0.00,3.06,12.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.08
Request Count,79434.00
Request Throughput (requests/sec),1761.97


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
