Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),374612.90,0.00,3100660.40,,,,,,319677.79,,758388.56,937307.68,1352929.35,295458.04
Active Decode Throughput Per User (tokens/sec/user),289135.40,0.00,2594691.23,,,,,,269126.81,,544681.68,641310.15,833469.10,194492.66
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),87698.12,0.00,3208724.92,,,,,,0.00,,358210.99,535068.70,928757.01,204377.93
Credit-to-Start Latency (ms),3.84,0.90,51.65,86995.70,1.20,1.41,1.65,2.33,3.34,4.64,6.42,7.96,12.09,2.40
Decode Duration (ms),0.44,0.00,48.67,9965.29,0.00,0.00,0.00,0.00,0.00,0.58,1.45,2.11,4.24,0.99
E2E Output Token Throughput (tokens/sec/user),9863.07,22.97,131806.68,223684571.02,75.79,116.69,155.87,418.37,2140.27,16172.71,29931.96,39038.13,59029.68,14008.11
Effective Concurrency,9.67,0.00,48.00,,,,,,9.00,,21.00,24.00,30.00,8.24
Effective Decode Concurrency,0.24,0.00,6.00,,,,,,0.00,,1.00,1.00,2.00,0.56
Effective Decode Throughput (tokens/sec),68521.15,0.00,3100660.40,,,,,,0.00,,288411.24,496681.53,911134.86,192200.33
Effective Decode Throughput Per User (tokens/sec/user),52885.37,0.00,2594691.23,,,,,,0.00,,247456.05,391579.78,627383.79,139331.00
Effective Latency (CO-aware) (ms),23.04,5.76,173.69,522432.12,8.58,10.43,11.97,15.45,21.25,28.69,36.28,42.02,51.26,10.24
Effective Prefill Concurrency,9.43,0.00,48.00,,,,,,9.00,,21.00,24.00,30.00,8.24
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),69395.56,0.00,3208724.92,,,,,,0.00,,298233.48,472429.09,868683.99,185264.69
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.67,1.00,27.00,37826.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,6.00,1.19
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,24.93,316.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Connection Overhead (ms),0.02,0.00,41.09,429.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55
HTTP Connection Reused (ratio),1.00,0.00,1.00,22625.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),41.07,0.51,476.84,931338.21,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.17,202.15,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.00,0.00,16.16,112.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),19.07,4.28,170.02,432546.60,6.56,8.02,9.27,12.00,16.95,24.15,31.59,36.99,46.10,9.57
HTTP Receiving (ms),0.47,0.00,48.66,10649.67,0.00,0.00,0.00,0.00,0.00,0.63,1.51,2.18,4.35,1.01
HTTP Sending (ms),0.30,0.07,25.34,6833.38,0.15,0.17,0.18,0.20,0.22,0.25,0.32,0.64,1.94,0.53
HTTP Total Time (ms),19.09,4.28,170.02,432975.97,6.56,8.02,9.27,12.00,16.95,24.16,31.60,37.05,46.30,9.64
HTTP Waiting (TTFB) (ms),18.30,4.10,169.85,415063.56,6.20,7.50,8.70,11.34,16.10,23.37,30.72,35.74,45.10,9.43
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.00,0.00,29.52,9965.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Inter Token Latency (ms),0.00,0.00,0.14,26.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
