Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.99,0.34,837.04,1867159.65,0.75,1.41,2.12,4.01,7.87,16.26,36.56,64.70,228.64,43.86
Decode Duration (ms),0.03,0.00,20.02,2846.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.28
Effective Concurrency,38.71,0.00,128.00,,,,,,42.00,,62.00,67.00,76.00,19.84
Effective Decode Concurrency,0.10,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),36.73,3.93,1149.72,3610849.49,7.13,9.07,10.48,13.75,19.85,32.54,63.77,107.59,363.22,66.78
Effective Prefill Concurrency,38.61,0.00,128.00,,,,,,42.00,,62.00,67.00,76.00,19.80
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.07,1.00,4.00,104837.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.25
HTTP Chunks Sent,1.00,1.00,1.00,98310.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,93.00,1163.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51
HTTP Connection Overhead (ms),0.01,0.00,93.00,1415.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65
HTTP Connection Reused (ratio),1.00,0.00,1.00,98172.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1174823.70,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,64249.88,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,29.59,252.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19
HTTP Duration (excl. conn) (ms),17.49,3.21,553.47,1719920.00,4.94,5.95,6.67,8.30,11.18,16.55,28.33,45.92,133.66,25.90
HTTP Receiving (ms),0.04,0.00,43.33,4362.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.99,0.38
HTTP Sending (ms),0.56,0.05,185.44,55482.15,0.06,0.08,0.09,0.12,0.15,0.22,0.74,1.77,8.05,2.96
HTTP Total Time (ms),17.51,3.21,553.47,1721335.32,4.94,5.95,6.67,8.30,11.18,16.55,28.33,45.92,134.88,25.95
HTTP Waiting (TTFB) (ms),16.89,2.92,553.34,1660075.37,4.68,5.68,6.40,8.00,10.83,16.04,27.44,44.20,129.05,25.02
Inter Chunk Latency (ms),0.00,0.00,20.02,2846.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Request Latency (ms),17.72,3.31,553.54,1742162.36,5.01,6.02,6.75,8.39,11.30,16.74,28.74,46.65,136.07,26.28
Time to First Output Token (ms),17.69,3.17,553.54,1739315.89,4.95,5.98,6.71,8.35,11.27,16.71,28.73,46.63,136.07,26.28
Time to First Token (ms),17.69,3.17,553.54,1739315.89,4.95,5.98,6.71,8.35,11.27,16.71,28.73,46.63,136.07,26.28
Time to Second Token (ms),0.00,0.00,3.80,17.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.04
Request Count,98310.00
Request Throughput (requests/sec),2182.51


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
