Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.59,0.37,671.40,1507289.87,0.84,1.54,2.29,4.40,8.83,18.24,41.38,74.27,193.27,37.56
Decode Duration (ms),0.03,0.00,38.46,2274.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.36
Effective Concurrency,29.83,0.00,103.00,,,,,,29.00,,57.00,62.00,70.00,20.63
Effective Decode Concurrency,0.08,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),37.08,4.39,933.48,2852559.51,6.98,8.90,10.35,13.87,20.62,34.79,69.87,125.42,298.50,57.57
Effective Prefill Concurrency,29.75,0.00,103.00,,,,,,29.00,,57.00,61.00,70.00,20.60
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.07,1.00,4.00,82053.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.25
HTTP Chunks Sent,1.00,1.00,1.00,76927.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,144.50,5173.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.09
HTTP Connection Overhead (ms),0.07,0.00,175.92,5765.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.42
HTTP Connection Reused (ratio),1.00,0.00,1.00,76790.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,919292.67,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,50276.25,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,58.99,592.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53
HTTP Duration (excl. conn) (ms),17.21,3.17,418.87,1323562.76,4.80,5.75,6.42,7.98,10.82,16.58,30.47,50.17,119.38,23.02
HTTP Receiving (ms),0.05,0.00,38.45,3485.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.96,0.42
HTTP Sending (ms),0.70,0.05,152.62,54026.35,0.06,0.09,0.10,0.13,0.18,0.26,1.05,2.35,9.85,3.48
HTTP Total Time (ms),17.28,3.17,418.87,1329328.16,4.80,5.75,6.42,7.98,10.82,16.59,30.50,50.32,121.48,23.45
HTTP Waiting (TTFB) (ms),16.46,2.90,418.56,1266051.25,4.53,5.44,6.10,7.62,10.39,15.96,29.13,47.39,114.13,22.08
Inter Chunk Latency (ms),0.00,0.00,38.46,2274.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),17.47,3.25,447.96,1344061.17,4.88,5.84,6.52,8.10,10.98,16.84,30.96,51.15,121.89,23.36
Time to First Output Token (ms),17.44,3.13,447.96,1341786.20,4.83,5.80,6.48,8.06,10.95,16.82,30.94,51.15,121.89,23.37
Time to First Token (ms),17.44,3.13,447.96,1341786.20,4.83,5.80,6.48,8.06,10.95,16.82,30.94,51.15,121.89,23.37
Time to Second Token (ms),0.00,0.00,1.18,5.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.08
Request Count,76927.00
Request Throughput (requests/sec),1705.78


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
