Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),9.84,0.51,235.68,482842.06,0.84,1.11,1.43,2.49,4.83,10.16,22.60,37.53,78.13,15.10
Decode Duration (ms),4.06,0.00,273.94,199220.93,0.00,0.00,0.18,0.34,1.03,2.52,7.03,32.04,45.34,9.85
Effective Concurrency,113.40,0.00,128.00,,,,,,116.00,,126.00,127.00,128.00,11.88
Effective Decode Concurrency,43.15,0.00,98.00,,,,,,43.00,,59.00,65.00,76.00,12.97
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),113.97,10.35,380.04,5592886.40,43.22,76.88,87.72,99.55,112.24,127.09,142.81,155.01,194.86,26.26
Effective Prefill Concurrency,70.25,0.00,123.00,,,,,,70.00,,92.00,98.00,108.00,16.66
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3.00,1.00,8.00,147306.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,0.48
HTTP Chunks Sent,1.00,1.00,1.00,49075.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,73.65,2433.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28
HTTP Connection Overhead (ms),0.06,0.00,106.60,2788.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58
HTTP Connection Reused (ratio),1.00,0.00,1.00,48937.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),15.84,14.66,16.02,777332.32,15.29,15.58,15.59,15.88,15.89,15.91,15.92,15.93,15.95,0.14
HTTP Data Sent (KB),17.10,14.64,19.39,839074.34,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,39.81,355.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
HTTP Duration (excl. conn) (ms),103.91,6.63,365.90,5099479.46,32.78,66.30,78.78,92.19,104.34,117.55,130.15,137.78,154.14,22.29
HTTP Receiving (ms),39.62,0.00,273.94,1944208.43,1.37,15.60,23.36,39.64,42.48,44.39,47.51,51.08,63.16,11.29
HTTP Sending (ms),0.52,0.06,82.36,25333.27,0.09,0.13,0.15,0.18,0.21,0.27,0.84,1.83,5.83,1.74
HTTP Total Time (ms),103.97,6.63,365.90,5102268.32,32.87,66.45,78.82,92.21,104.37,117.57,130.17,137.83,154.36,22.30
HTTP Waiting (TTFB) (ms),63.78,6.16,173.60,3129937.76,18.43,34.12,41.41,51.20,62.55,76.22,88.22,96.28,111.36,18.97
Inter Chunk Latency (ms),0.08,0.00,273.78,199220.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,1.49
Request Latency (ms),68.57,6.70,367.67,3364930.58,24.15,38.88,45.29,54.59,66.31,80.96,95.20,105.47,125.84,20.60
Time to First Output Token (ms),64.51,6.41,188.17,3165709.65,18.90,34.86,42.13,51.84,63.24,76.90,89.02,97.27,112.57,19.03
Time to First Token (ms),64.51,6.41,188.17,3165709.65,18.90,34.86,42.13,51.84,63.24,76.90,89.02,97.27,112.57,19.03
Time to Second Token (ms),0.01,0.00,61.14,516.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.05
Request Count,49075.00
Request Throughput (requests/sec),1089.08


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
