Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),113411.60,0.00,1740636.80,,,,,,77417.43,,273279.47,348780.88,516017.17,118107.02
Active Decode Throughput Per User (tokens/sec/user),27926.28,0.00,1039486.70,,,,,,18689.83,,63112.58,84804.35,144748.54,31253.31
Active Prefill Throughput (tokens/sec),5720977.71,5668.41,41860803.96,,,,,,3403695.20,,14762699.35,18279490.85,24749338.68,6094041.88
Active Prefill Throughput Per User (tokens/sec/user),667833.23,5668.41,5499904.14,,,,,,593035.31,,1294974.79,1507906.20,2091858.36,478247.44
Active Total Throughput (tokens/sec),4219225.28,339.17,41860803.96,,,,,,1369016.44,,12950980.80,16741302.06,23486121.43,5757048.22
Credit-to-Start Latency (ms),4.41,0.67,170.98,100042.29,1.08,1.30,1.48,2.03,3.12,5.00,8.05,11.44,23.06,5.03
Decode Duration (ms),5.96,0.00,127.86,135307.38,0.00,0.00,0.00,0.00,0.85,8.79,18.10,24.50,47.63,9.95
E2E Output Token Throughput (tokens/sec/user),9702.59,15.35,72615.21,220229353.44,64.90,239.64,370.83,768.33,4388.54,16505.57,26727.83,32467.49,43028.58,11117.01
Effective Concurrency,7.91,0.00,42.00,,,,,,6.00,,18.00,21.00,29.00,7.25
Effective Decode Concurrency,3.26,0.00,27.00,,,,,,2.00,,8.00,9.00,13.00,3.23
Effective Decode Throughput (tokens/sec),84223.98,0.00,1740636.80,,,,,,36023.03,,239647.84,316641.30,485772.04,113214.73
Effective Decode Throughput Per User (tokens/sec/user),20739.16,0.00,1039486.70,,,,,,10551.72,,54737.94,75185.66,132618.46,29570.97
Effective Latency (CO-aware) (ms),20.12,4.04,241.77,456706.08,5.22,6.35,7.29,9.75,15.19,25.43,39.63,51.21,73.57,15.18
Effective Prefill Concurrency,4.65,0.00,38.00,,,,,,2.00,,14.00,18.00,24.00,6.14
Effective Prefill Throughput (tokens/sec),3467932.95,0.00,41860803.96,,,,,,505354.59,,11820482.93,15797340.16,22800791.54,5506837.96
Effective Prefill Throughput Per User (tokens/sec/user),404826.06,0.00,5499904.14,,,,,,191475.86,,1119530.43,1353528.31,1879677.10,495093.57
Effective Total Throughput (tokens/sec),3552774.19,0.00,41860803.96,,,,,,613955.94,,11904942.25,15837406.04,22837964.10,5502374.95
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,8.32,1.00,121.00,188808.00,1.00,1.00,1.00,2.00,3.00,13.00,23.00,28.00,41.00,10.04
HTTP Chunks Sent,1.00,1.00,1.00,22698.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,60.55,537.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69
HTTP Connection Overhead (ms),0.03,0.00,60.55,661.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83
HTTP Connection Reused (ratio),1.00,0.00,1.00,22634.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),53.74,0.90,623.25,1219867.59,1.52,1.52,1.52,1.55,9.33,105.67,154.84,182.96,263.41,71.37
HTTP Data Sent (KB),29.36,3.77,127.48,666439.00,4.01,4.38,7.55,13.88,26.62,30.87,57.49,78.68,113.33,21.70
HTTP DNS Lookup (ms),0.01,0.00,16.20,123.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21
HTTP Duration (excl. conn) (ms),15.56,2.84,163.68,353256.76,3.53,4.16,4.70,6.33,10.70,19.78,32.77,45.81,64.58,13.59
HTTP Receiving (ms),6.48,0.00,127.85,147123.40,0.00,0.00,0.00,0.24,1.44,9.34,18.71,25.89,49.91,10.45
HTTP Sending (ms),0.36,0.06,67.30,8196.56,0.14,0.16,0.17,0.20,0.22,0.26,0.39,0.97,3.08,0.91
HTTP Total Time (ms),15.59,2.84,163.68,353918.48,3.53,4.16,4.70,6.33,10.70,19.82,32.87,45.83,65.07,13.67
HTTP Waiting (TTFB) (ms),8.72,2.23,162.23,197936.81,2.86,3.31,3.66,4.51,6.16,9.17,14.92,21.50,48.21,8.53
Input Sequence Length (tokens),6890.46,919.00,29826.00,156399606.00,923.00,1004.85,1746.70,3219.00,6278.00,7268.75,13506.20,18495.15,26597.03,5096.11
Inter Chunk Latency (ms),0.04,0.00,86.39,135307.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.47
Inter Token Latency (ms),0.06,0.00,14.41,1347.56,0.00,0.00,0.00,0.00,0.02,0.04,0.08,0.15,0.97,0.31
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.16,1.00,2000.00,3884919.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.03,229.82
Output Token Count (tokens),171.16,1.00,2000.00,3884919.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.03,229.82
Output Token Throughput Per User (tokens/sec/user),49108.71,69.40,441812.10,752640156.67,754.11,4226.52,8553.55,19704.01,35429.62,62093.85,107590.25,142299.25,223069.52,46285.96
Prefill Throughput Per User (tokens/sec/user),1006787.72,5668.41,6953481.61,22852067737.91,66048.39,134101.65,194376.00,431011.18,832934.27,1362217.73,1934203.68,2531998.33,3983538.87,798762.50
Request Latency (ms),15.20,2.84,167.95,344910.77,3.47,4.08,4.62,6.21,10.48,19.39,31.94,45.08,62.25,13.19
Time to First Output Token (ms),9.23,2.55,167.95,209603.38,3.18,3.64,4.03,4.93,6.65,9.74,15.60,22.28,48.89,8.65
Time to First Token (ms),9.23,2.55,167.95,209603.38,3.18,3.64,4.03,4.93,6.65,9.74,15.60,22.28,48.89,8.65
Time to Second Token (ms),0.14,0.00,24.36,3166.95,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.69,3.27,0.77
Tokens In Flight (tokens),60079.99,0.00,333806.36,,,,,,48897.68,,137826.00,164016.57,221447.35,55201.33
Usage Completion Tokens (tokens),171.16,1.00,2000.00,3884919.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.03,229.82
Usage Prompt Tokens (tokens),6890.46,919.00,29826.00,156399606.00,923.00,1004.85,1746.70,3219.00,6278.00,7268.75,13506.20,18495.15,26597.03,5096.11
