Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),14.68,0.46,283.53,829093.50,0.83,1.25,1.81,3.59,7.68,17.90,36.98,52.13,89.28,18.74
Decode Duration (ms),5.68,0.00,246.30,320598.08,0.00,0.18,0.24,0.54,1.57,4.13,14.84,41.40,47.39,11.38
Effective Concurrency,100.39,0.00,128.00,,,,,,105.00,,123.00,126.00,128.00,21.38
Effective Decode Concurrency,40.60,0.00,107.00,,,,,,41.00,,62.00,68.00,79.00,16.53
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),94.87,5.70,1122.11,5356708.06,18.48,34.81,48.88,75.75,94.93,113.72,133.61,149.81,194.39,36.12
Effective Prefill Concurrency,59.78,0.00,126.00,,,,,,58.00,,90.00,98.00,112.00,21.89
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,2.95,1.00,12.00,166430.00,2.00,2.00,2.00,3.00,3.00,3.00,4.00,4.00,5.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,56466.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,26.27,947.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
HTTP Connection Overhead (ms),0.02,0.00,37.92,1090.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54
HTTP Connection Reused (ratio),1.00,0.00,1.00,56328.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),15.84,14.67,16.02,894388.45,15.29,15.58,15.59,15.88,15.89,15.91,15.92,15.93,15.95,0.14
HTTP Data Sent (KB),0.65,0.38,0.92,36903.83,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,16.00,143.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
HTTP Duration (excl. conn) (ms),79.93,3.25,1116.25,4513508.81,11.98,24.04,34.72,61.96,83.12,100.22,114.90,123.79,141.62,31.40
HTTP Receiving (ms),32.42,0.00,267.16,1830838.91,0.22,1.21,4.18,17.33,41.57,44.13,47.82,52.26,66.21,17.63
HTTP Sending (ms),0.56,0.05,50.48,31714.62,0.08,0.11,0.13,0.17,0.21,0.27,1.10,2.33,7.02,1.48
HTTP Total Time (ms),79.95,3.25,1116.25,4514599.73,12.12,24.13,34.80,61.97,83.12,100.23,114.90,123.79,141.62,31.37
HTTP Waiting (TTFB) (ms),46.95,2.77,1068.65,2650955.28,7.41,14.77,20.62,31.11,45.23,60.98,74.86,83.90,99.72,23.21
Inter Chunk Latency (ms),0.12,0.00,246.30,320598.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,1.75
Request Latency (ms),53.43,3.32,1068.97,3017010.42,10.14,20.13,26.27,37.34,51.74,67.23,81.95,91.88,113.65,24.39
Time to First Output Token (ms),47.75,2.92,1068.97,2696412.34,7.80,15.47,21.30,31.94,45.99,61.80,75.88,84.84,101.30,23.33
Time to First Token (ms),47.75,2.92,1068.97,2696412.34,7.80,15.47,21.30,31.94,45.99,61.80,75.88,84.84,101.30,23.33
Time to Second Token (ms),0.04,0.00,55.27,2326.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.08
Request Count,56466.00
Request Throughput (requests/sec),1251.95


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
