Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.69,0.41,504.34,1598664.04,0.83,1.50,2.23,4.38,9.34,22.20,48.42,72.98,147.16,29.12
Decode Duration (ms),0.42,0.00,65.79,34446.43,0.00,0.00,0.00,0.00,0.00,0.30,1.11,2.08,5.93,1.50
Effective Concurrency,73.55,0.00,128.00,,,,,,77.00,,95.00,99.00,108.00,20.65
Effective Decode Concurrency,0.77,0.00,11.00,,,,,,0.00,,2.00,3.00,4.00,1.04
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),60.47,8.15,652.45,4910588.19,19.93,25.78,29.37,36.50,47.49,66.60,103.61,142.14,252.41,44.45
Effective Prefill Concurrency,72.78,0.00,128.00,,,,,,76.00,,94.00,98.00,107.00,20.53
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.40,1.00,4.00,113794.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,81204.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,77.09,2290.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91
HTTP Connection Overhead (ms),0.03,0.00,119.10,2675.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18
HTTP Connection Reused (ratio),1.00,0.00,1.00,81066.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,946613.43,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1388405.93,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,42.25,385.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Duration (excl. conn) (ms),40.52,5.41,356.12,3290648.35,14.97,19.76,22.78,28.42,36.15,46.64,60.69,74.66,123.90,20.66
HTTP Receiving (ms),0.43,0.00,65.78,35045.17,0.00,0.00,0.00,0.00,0.00,0.31,1.13,2.11,6.00,1.51
HTTP Sending (ms),0.63,0.05,87.67,51286.50,0.07,0.10,0.12,0.15,0.19,0.26,1.06,2.43,9.60,2.18
HTTP Total Time (ms),40.56,5.41,356.12,3293323.90,14.97,19.76,22.78,28.42,36.16,46.65,60.71,74.86,124.54,20.76
HTTP Waiting (TTFB) (ms),39.46,4.99,334.60,3204316.68,14.37,19.04,22.02,27.60,35.21,45.59,59.28,72.63,121.31,20.21
Inter Chunk Latency (ms),0.01,0.00,65.79,34446.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
Request Latency (ms),40.78,5.50,356.19,3311621.76,15.09,19.91,22.92,28.58,36.36,46.88,61.10,75.38,125.02,20.84
Time to First Output Token (ms),40.36,5.30,356.19,3277175.33,14.74,19.50,22.51,28.17,35.90,46.47,60.74,74.99,124.78,20.86
Time to First Token (ms),40.36,5.30,356.19,3277175.33,14.74,19.50,22.51,28.17,35.90,46.47,60.74,74.99,124.78,20.86
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.02
Request Count,81204.00
Request Throughput (requests/sec),1803.46


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
