Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.26,0.44,520.30,1395525.37,0.91,1.55,2.24,4.24,8.92,20.43,45.71,72.36,152.70,31.37
Decode Duration (ms),0.45,0.00,94.15,32803.84,0.00,0.00,0.00,0.00,0.00,0.33,1.16,2.16,6.00,1.74
Effective Concurrency,64.40,0.00,127.00,,,,,,70.00,,91.00,97.00,107.00,24.99
Effective Decode Concurrency,0.73,0.00,11.00,,,,,,0.00,,2.00,3.00,4.00,1.04
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),59.37,7.00,744.24,4302909.99,19.13,25.17,28.84,36.01,46.45,64.28,99.52,139.11,248.65,47.00
Effective Prefill Concurrency,63.67,0.00,127.00,,,,,,69.00,,90.00,96.00,106.00,24.79
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.41,1.00,4.00,101853.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,72471.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,49.50,1254.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56
HTTP Connection Overhead (ms),0.02,0.00,78.13,1404.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65
HTTP Connection Reused (ratio),1.00,0.00,1.00,72333.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,844810.87,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1239087.11,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,28.62,149.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
HTTP Duration (excl. conn) (ms),39.82,5.61,399.74,2886142.76,14.53,19.32,22.41,28.05,35.48,45.50,59.73,73.82,119.17,20.91
HTTP Receiving (ms),0.46,0.00,94.15,33300.89,0.00,0.00,0.00,0.00,0.00,0.34,1.18,2.19,6.04,1.75
HTTP Sending (ms),0.66,0.06,286.34,47944.30,0.08,0.10,0.12,0.15,0.20,0.27,1.17,2.59,9.05,2.56
HTTP Total Time (ms),39.84,5.61,399.74,2887546.94,14.53,19.34,22.42,28.07,35.49,45.51,59.76,73.89,119.27,20.93
HTTP Waiting (TTFB) (ms),38.70,5.13,397.47,2804897.57,13.83,18.53,21.55,27.14,34.49,44.36,58.31,71.76,116.76,20.39
Inter Chunk Latency (ms),0.01,0.00,94.15,32803.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
Request Latency (ms),40.11,5.69,399.86,2907096.76,14.68,19.51,22.58,28.23,35.70,45.81,60.19,74.47,120.48,21.13
Time to First Output Token (ms),39.66,5.37,399.86,2874292.92,14.33,19.12,22.14,27.76,35.20,45.33,59.78,74.02,120.23,21.14
Time to First Token (ms),39.66,5.37,399.86,2874292.92,14.33,19.12,22.14,27.76,35.20,45.33,59.78,74.02,120.23,21.14
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.14
Request Count,72471.00
Request Throughput (requests/sec),1605.22


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
