Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),20.58,0.49,440.35,1417466.81,0.89,1.46,2.13,4.11,8.77,20.54,51.15,84.83,174.93,33.95
Decode Duration (ms),0.48,0.00,143.95,33351.80,0.00,0.00,0.00,0.00,0.00,0.36,1.22,2.20,5.99,2.01
Effective Concurrency,65.60,0.00,128.00,,,,,,72.00,,92.00,97.00,107.00,25.37
Effective Decode Concurrency,0.75,0.00,12.00,,,,,,0.00,,2.00,3.00,5.00,1.07
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),63.45,7.79,696.57,4370401.92,19.86,26.72,30.55,37.70,48.29,66.65,109.86,160.11,289.61,51.29
Effective Prefill Concurrency,64.86,0.00,128.00,,,,,,71.00,,91.00,97.00,106.00,25.16
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.44,1.00,4.00,99194.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.62
HTTP Chunks Sent,1.00,1.00,1.00,68883.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,18.69,725.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
HTTP Connection Overhead (ms),0.01,0.00,31.63,859.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
HTTP Connection Reused (ratio),1.00,0.00,1.00,68745.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,802984.74,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1177750.01,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,12.93,133.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
HTTP Duration (excl. conn) (ms),42.57,5.25,401.37,2932683.39,15.08,20.83,24.18,30.02,37.62,47.91,63.42,81.02,137.22,22.75
HTTP Receiving (ms),0.49,0.00,117.49,33795.18,0.00,0.00,0.00,0.00,0.00,0.37,1.24,2.23,6.05,1.97
HTTP Sending (ms),0.67,0.06,80.02,46037.38,0.08,0.11,0.12,0.16,0.20,0.28,1.13,2.46,9.31,2.45
HTTP Total Time (ms),42.59,5.25,401.37,2933542.49,15.08,20.83,24.18,30.03,37.63,47.93,63.47,81.04,137.22,22.76
HTTP Waiting (TTFB) (ms),41.42,4.48,401.24,2852850.83,14.42,20.10,23.31,29.13,36.62,46.78,61.90,78.84,132.54,22.22
Inter Chunk Latency (ms),0.01,0.00,143.95,33351.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
Request Latency (ms),42.86,5.37,401.45,2952639.60,15.23,20.98,24.33,30.19,37.83,48.20,64.03,81.76,138.24,23.02
Time to First Output Token (ms),42.38,5.37,401.45,2919287.80,14.88,20.58,23.86,29.72,37.30,47.66,63.56,81.37,137.48,23.00
Time to First Token (ms),42.38,5.37,401.45,2919287.80,14.88,20.58,23.86,29.72,37.30,47.66,63.56,81.37,137.48,23.00
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,68883.00
Request Throughput (requests/sec),1530.33


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
