Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),3.46,0.48,115.82,155226.23,0.65,0.80,0.92,1.38,2.41,4.13,6.81,9.34,18.65,3.95
Decode Duration (ms),0.33,0.00,33.05,14632.84,0.00,0.00,0.00,0.00,0.00,0.28,0.78,1.50,3.87,0.93
Effective Concurrency,122.53,0.00,128.00,,,,,,124.00,,128.00,128.00,128.00,6.29
Effective Decode Concurrency,0.33,0.00,21.00,,,,,,0.00,,1.00,2.00,4.00,0.87
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),126.75,32.39,306.83,5681980.31,60.80,77.34,87.15,104.72,125.68,147.15,167.55,179.85,205.95,31.45
Effective Prefill Concurrency,122.21,0.00,128.00,,,,,,123.00,,128.00,128.00,128.00,6.45
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.52,1.00,5.00,68166.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,44827.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,24.69,929.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49
HTTP Connection Overhead (ms),0.03,0.00,42.02,1132.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67
HTTP Connection Reused (ratio),1.00,0.00,1.00,44689.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.66,11.66,11.66,522558.50,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,766442.99,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.58,0.64
HTTP DNS Lookup (ms),0.00,0.00,17.33,202.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
HTTP Duration (excl. conn) (ms),123.16,30.85,303.00,5521036.58,57.42,73.84,83.61,101.17,122.04,143.54,163.76,176.13,202.21,31.35
HTTP Receiving (ms),0.33,0.00,33.04,14810.70,0.00,0.00,0.00,0.00,0.00,0.28,0.79,1.51,3.88,0.94
HTTP Sending (ms),0.31,0.06,26.87,13684.46,0.10,0.13,0.15,0.17,0.19,0.23,0.35,0.85,2.38,0.66
HTTP Total Time (ms),123.19,30.85,303.00,5522169.21,57.45,73.89,83.67,101.19,122.06,143.55,163.77,176.14,202.21,31.34
HTTP Waiting (TTFB) (ms),122.53,30.34,298.75,5492541.43,56.61,73.16,82.96,100.53,121.40,142.86,163.02,175.37,201.79,31.34
Inter Chunk Latency (ms),0.01,0.00,33.05,14632.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.14
Request Latency (ms),123.29,30.97,303.07,5526594.57,57.50,73.95,83.74,101.28,122.18,143.66,163.86,176.26,202.32,31.35
Time to First Output Token (ms),122.96,30.70,298.97,5511961.73,57.25,73.64,83.45,100.97,121.85,143.27,163.46,175.88,202.12,31.31
Time to First Token (ms),122.96,30.70,298.97,5511961.73,57.25,73.64,83.45,100.97,121.85,143.27,163.46,175.88,202.12,31.31
Time to Second Token (ms),0.00,0.00,1.74,16.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,44827.00
Request Throughput (requests/sec),993.86


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
