Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.55,0.38,98.16,236316.29,0.69,0.88,1.02,1.57,2.84,5.26,9.43,13.65,28.90,5.69
Decode Duration (ms),0.35,0.00,29.53,18232.89,0.00,0.00,0.00,0.00,0.00,0.28,0.96,1.69,4.10,0.94
Effective Concurrency,119.94,0.00,128.00,,,,,,122.00,,128.00,128.00,128.00,10.08
Effective Decode Concurrency,0.41,0.00,15.00,,,,,,0.00,,1.00,2.00,5.00,1.02
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),108.72,6.57,267.77,5647745.85,15.36,22.82,70.81,107.05,115.66,123.70,131.75,137.16,150.39,30.09
Effective Prefill Concurrency,119.54,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,10.22
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.49,1.00,4.00,77570.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,51947.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,18.46,607.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
HTTP Connection Overhead (ms),0.01,0.00,33.38,726.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Connection Reused (ratio),1.00,0.00,1.00,51809.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,605557.95,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,888172.29,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,14.92,118.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
HTTP Duration (excl. conn) (ms),104.03,4.53,265.92,5404302.41,11.27,17.81,55.85,103.36,111.74,119.29,126.66,131.41,141.98,30.37
HTTP Receiving (ms),0.36,0.00,29.52,18503.03,0.00,0.00,0.00,0.00,0.00,0.29,0.97,1.71,4.12,0.96
HTTP Sending (ms),0.34,0.05,28.90,17528.32,0.08,0.11,0.14,0.18,0.21,0.25,0.41,1.06,3.00,0.65
HTTP Total Time (ms),104.05,4.53,265.92,5405029.26,11.27,17.81,56.71,103.36,111.74,119.29,126.66,131.41,141.98,30.35
HTTP Waiting (TTFB) (ms),103.34,4.36,262.50,5368271.06,10.94,17.53,54.53,102.71,111.07,118.54,125.89,130.56,140.91,30.27
Inter Chunk Latency (ms),0.01,0.00,29.53,18232.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.14
Request Latency (ms),104.17,4.60,265.99,5411209.50,11.34,17.88,55.97,103.49,111.88,119.42,126.79,131.54,142.19,30.39
Time to First Output Token (ms),103.82,4.60,262.75,5392976.61,11.23,17.78,55.72,103.17,111.56,119.04,126.35,131.05,141.49,30.30
Time to First Token (ms),103.82,4.60,262.75,5392976.61,11.23,17.78,55.72,103.17,111.56,119.04,126.35,131.05,141.49,30.30
Time to Second Token (ms),0.00,0.00,3.17,25.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.11
Request Count,51947.00
Request Throughput (requests/sec),1151.41


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
