Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),22.46,0.44,850.61,1728800.97,0.85,1.55,2.34,4.61,9.96,22.28,51.63,87.40,204.43,39.43
Decode Duration (ms),0.36,0.00,180.04,28014.43,0.00,0.00,0.00,0.00,0.00,0.26,0.87,1.72,5.04,1.79
Effective Concurrency,65.43,0.00,120.00,,,,,,67.00,,89.00,94.00,102.00,19.66
Effective Decode Concurrency,0.63,0.00,13.00,,,,,,0.00,,2.00,2.00,4.00,0.95
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),60.77,8.83,1143.60,4678042.31,17.06,22.72,26.25,33.05,43.59,62.48,107.05,160.96,337.05,59.50
Effective Prefill Concurrency,64.81,0.00,120.00,,,,,,67.00,,88.00,93.00,102.00,19.54
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.36,1.00,4.00,104307.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,76974.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,105.77,2550.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06
HTTP Connection Overhead (ms),0.04,0.00,183.99,3140.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54
HTTP Connection Reused (ratio),1.00,0.00,1.00,76836.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,897303.36,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1316097.30,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,78.22,590.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56
HTTP Duration (excl. conn) (ms),38.02,6.60,664.98,2926887.62,12.90,17.02,19.70,24.82,31.90,42.10,59.26,80.34,149.74,25.56
HTTP Receiving (ms),0.37,0.00,180.01,28390.66,0.00,0.00,0.00,0.00,0.00,0.27,0.88,1.74,5.11,1.80
HTTP Sending (ms),0.69,0.06,126.35,52980.06,0.08,0.10,0.11,0.14,0.19,0.26,1.08,2.42,10.56,2.77
HTTP Total Time (ms),38.07,6.60,664.98,2930028.17,12.90,17.02,19.70,24.83,31.91,42.11,59.32,80.49,151.06,25.70
HTTP Waiting (TTFB) (ms),36.97,6.29,664.66,2845516.90,12.33,16.37,19.04,24.07,31.06,41.10,57.61,77.89,143.30,24.86
Inter Chunk Latency (ms),0.01,0.00,180.04,28014.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
Request Latency (ms),38.31,6.64,685.20,2949003.71,12.98,17.13,19.84,24.98,32.09,42.37,59.75,81.16,151.36,25.86
Time to First Output Token (ms),37.95,6.43,685.20,2920989.28,12.71,16.79,19.51,24.61,31.70,41.96,59.42,80.86,151.22,25.86
Time to First Token (ms),37.95,6.43,685.20,2920989.28,12.71,16.79,19.51,24.61,31.70,41.96,59.42,80.86,151.22,25.86
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.07
Request Count,76974.00
Request Throughput (requests/sec),1707.75


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
