Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),5.22,0.47,190.57,244621.05,0.74,0.91,1.06,1.72,3.14,6.01,11.11,16.17,32.69,6.93
Decode Duration (ms),0.41,0.00,35.17,19015.59,0.00,0.00,0.00,0.00,0.00,0.30,1.16,1.94,4.90,1.07
Effective Concurrency,119.75,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,8.42
Effective Decode Concurrency,0.43,0.00,23.00,,,,,,0.00,,1.00,2.00,5.00,1.09
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),120.51,27.23,306.53,5646157.00,89.03,100.70,104.97,111.74,119.40,127.87,137.40,144.50,164.32,14.81
Effective Prefill Concurrency,119.32,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,8.57
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.50,1.00,4.00,70466.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,46852.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,30.41,984.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53
HTTP Connection Overhead (ms),0.02,0.00,39.36,1142.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64
HTTP Connection Reused (ratio),1.00,0.00,1.00,46714.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,546164.38,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,801070.05,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,16.04,157.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
HTTP Duration (excl. conn) (ms),115.13,20.92,267.84,5394252.56,84.74,96.58,100.93,107.38,114.56,122.33,130.52,136.22,149.56,13.09
HTTP Receiving (ms),0.41,0.00,35.17,19197.49,0.00,0.00,0.00,0.00,0.00,0.31,1.17,1.96,4.92,1.08
HTTP Sending (ms),0.36,0.05,48.87,17063.57,0.09,0.13,0.15,0.17,0.20,0.24,0.51,1.19,3.42,0.87
HTTP Total Time (ms),115.16,25.38,267.84,5395394.93,84.92,96.61,100.94,107.38,114.56,122.35,130.55,136.26,149.76,13.07
HTTP Waiting (TTFB) (ms),114.36,15.21,267.47,5357991.49,83.52,95.92,100.21,106.72,113.86,121.55,129.67,135.28,148.37,13.05
Inter Chunk Latency (ms),0.01,0.00,35.17,19015.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.16
Request Latency (ms),115.29,21.02,267.94,5401370.12,84.88,96.73,101.09,107.52,114.71,122.48,130.69,136.36,149.84,13.10
Time to First Output Token (ms),114.88,21.02,267.76,5382354.53,84.40,96.37,100.73,107.20,114.35,122.08,130.17,135.83,148.98,13.02
Time to First Token (ms),114.88,21.02,267.76,5382354.53,84.40,96.37,100.73,107.20,114.35,122.08,130.17,135.83,148.98,13.02
Time to Second Token (ms),0.00,0.00,2.94,22.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.09
Request Count,46852.00
Request Throughput (requests/sec),1038.68


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
