Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),14.79,0.45,307.34,1057239.09,0.75,1.20,1.75,3.32,6.74,15.20,36.54,57.21,120.40,23.40
Decode Duration (ms),0.42,0.00,63.82,29785.69,0.00,0.00,0.00,0.00,0.00,0.34,1.10,1.94,5.07,1.36
Effective Concurrency,72.78,0.00,128.00,,,,,,79.00,,102.00,107.00,115.00,25.65
Effective Decode Concurrency,0.67,0.00,14.00,,,,,,0.00,,2.00,3.00,4.00,1.03
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),60.62,9.54,505.05,4334354.94,22.31,29.68,33.81,41.28,51.45,66.38,94.59,125.18,217.27,36.17
Effective Prefill Concurrency,72.11,0.00,128.00,,,,,,78.00,,101.00,106.00,115.00,25.49
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.47,1.00,4.00,105394.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.65
HTTP Chunks Sent,1.00,1.00,1.00,71499.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,114.45,2352.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25
HTTP Connection Overhead (ms),0.04,0.00,151.20,2691.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49
HTTP Connection Reused (ratio),1.00,0.00,1.00,71361.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,833480.04,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1222475.93,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,46.50,338.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Duration (excl. conn) (ms),45.59,8.41,293.94,3259699.97,17.60,24.56,28.07,34.36,42.53,52.47,64.52,75.28,117.80,18.60
HTTP Receiving (ms),0.42,0.00,63.82,30298.84,0.00,0.00,0.00,0.00,0.00,0.35,1.12,1.96,5.12,1.37
HTTP Sending (ms),0.58,0.06,114.88,41633.30,0.07,0.10,0.12,0.15,0.20,0.26,0.99,2.14,7.86,2.10
HTTP Total Time (ms),45.63,8.41,382.97,3262391.84,17.60,24.56,28.07,34.36,42.53,52.48,64.55,75.33,118.26,18.82
HTTP Waiting (TTFB) (ms),44.58,7.18,293.60,3187767.83,17.05,23.89,27.30,33.53,41.61,51.43,63.37,73.80,113.57,18.20
Inter Chunk Latency (ms),0.01,0.00,63.82,29785.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
Request Latency (ms),45.83,8.48,297.90,3276790.86,17.72,24.70,28.21,34.55,42.72,52.73,64.90,75.77,118.45,18.73
Time to First Output Token (ms),45.41,7.33,297.90,3247005.17,17.47,24.33,27.84,34.11,42.29,52.26,64.56,75.47,118.14,18.74
Time to First Token (ms),45.41,7.33,297.90,3247005.17,17.47,24.33,27.84,34.11,42.29,52.26,64.56,75.47,118.14,18.74
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.02
Request Count,71499.00
Request Throughput (requests/sec),1587.93


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
