Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.34,0.41,395.09,1215456.81,0.82,1.41,2.02,3.83,7.97,18.06,43.64,72.23,174.41,30.96
Decode Duration (ms),0.38,0.00,145.11,25198.90,0.00,0.00,0.00,0.00,0.00,0.28,0.93,1.75,5.01,1.71
Effective Concurrency,50.55,0.00,128.00,,,,,,55.00,,83.00,89.00,99.00,26.76
Effective Decode Concurrency,0.56,0.00,10.00,,,,,,0.00,,2.00,2.00,4.00,0.91
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),52.79,7.12,545.00,3497999.12,15.43,20.44,23.70,30.06,39.28,54.81,91.06,134.82,290.03,46.88
Effective Prefill Concurrency,49.99,0.00,128.00,,,,,,54.00,,83.00,88.00,98.00,26.53
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.40,1.00,4.00,92971.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,66262.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,25.67,646.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
HTTP Connection Overhead (ms),0.01,0.00,39.56,768.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Connection Reused (ratio),1.00,0.00,1.00,66124.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,772431.15,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1132958.88,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,13.90,122.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
HTTP Duration (excl. conn) (ms),34.17,5.30,357.48,2263962.70,11.75,15.48,17.92,22.83,29.59,39.02,52.51,67.09,121.57,20.23
HTTP Receiving (ms),0.39,0.00,145.10,25622.02,0.00,0.00,0.00,0.00,0.00,0.29,0.95,1.78,5.07,1.72
HTTP Sending (ms),0.63,0.05,124.88,41701.97,0.07,0.10,0.11,0.14,0.19,0.25,0.97,2.38,9.34,2.44
HTTP Total Time (ms),34.18,5.30,357.48,2264731.52,11.75,15.48,17.92,22.83,29.59,39.03,52.57,67.14,121.57,20.24
HTTP Waiting (TTFB) (ms),33.15,5.03,348.53,2196638.72,11.27,14.90,17.26,22.08,28.72,37.95,51.04,65.16,117.57,19.62
Inter Chunk Latency (ms),0.01,0.00,145.11,25198.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
Request Latency (ms),34.44,5.35,369.27,2282298.22,11.85,15.61,18.05,22.99,29.78,39.29,52.93,67.72,123.20,20.47
Time to First Output Token (ms),34.06,5.17,369.27,2257099.32,11.67,15.35,17.74,22.60,29.36,38.84,52.59,67.33,122.70,20.45
Time to First Token (ms),34.06,5.17,369.27,2257099.32,11.67,15.35,17.74,22.60,29.36,38.84,52.59,67.33,122.70,20.45
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.14
Request Count,66262.00
Request Throughput (requests/sec),1467.42


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
