Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),3.71,0.40,73.77,179195.83,0.67,0.84,0.96,1.41,2.48,4.41,7.54,10.65,20.93,4.08
Decode Duration (ms),0.37,0.00,34.41,17723.25,0.00,0.00,0.00,0.00,0.15,0.30,1.02,1.70,3.91,0.92
Effective Concurrency,121.89,0.00,128.00,,,,,,123.00,,128.00,128.00,128.00,6.48
Effective Decode Concurrency,0.40,0.00,30.00,,,,,,0.00,,1.00,2.00,5.00,1.06
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),117.44,12.99,281.20,5667339.34,47.93,85.81,101.93,110.71,118.61,126.92,135.65,142.03,156.73,19.75
Effective Prefill Concurrency,121.50,0.00,128.00,,,,,,123.00,,128.00,128.00,128.00,6.72
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.56,1.00,4.00,75102.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,0.59
HTTP Chunks Sent,1.00,1.00,1.00,48258.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,18.73,792.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
HTTP Connection Overhead (ms),0.02,0.00,30.82,963.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53
HTTP Connection Reused (ratio),1.00,0.00,1.00,48120.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,562554.44,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,825114.39,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,12.48,170.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
HTTP Duration (excl. conn) (ms),113.59,11.31,279.78,5481805.19,46.30,82.35,98.30,107.25,114.94,122.84,130.97,136.97,150.84,19.16
HTTP Receiving (ms),0.37,0.00,34.40,17880.42,0.00,0.00,0.00,0.00,0.15,0.30,1.03,1.71,3.91,0.93
HTTP Sending (ms),0.32,0.06,19.17,15531.33,0.11,0.14,0.15,0.18,0.20,0.24,0.36,0.96,2.72,0.62
HTTP Total Time (ms),113.61,11.31,279.78,5482768.39,46.30,82.35,98.30,107.25,114.95,122.87,131.00,137.03,151.07,19.18
HTTP Waiting (TTFB) (ms),112.90,11.19,279.53,5448393.44,45.93,81.64,97.63,106.60,114.25,122.09,130.13,136.08,149.76,19.09
Inter Chunk Latency (ms),0.01,0.00,34.41,17723.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.14
Request Latency (ms),113.72,11.42,279.87,5488023.14,46.36,82.41,98.43,107.37,115.07,122.98,131.09,137.09,150.94,19.17
Time to First Output Token (ms),113.36,11.42,279.87,5470299.90,46.14,81.92,98.06,107.08,114.71,122.59,130.63,136.54,150.28,19.12
Time to First Token (ms),113.36,11.42,279.87,5470299.90,46.14,81.92,98.06,107.08,114.71,122.59,130.63,136.54,150.28,19.12
Time to Second Token (ms),0.00,0.00,3.28,25.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.02
Request Count,48258.00
Request Throughput (requests/sec),1071.82


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
