Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),5.28,0.48,143.70,253401.78,0.76,0.95,1.12,1.82,3.28,6.06,10.76,15.75,34.24,7.04
Decode Duration (ms),0.41,0.00,47.40,19502.13,0.00,0.00,0.00,0.00,0.00,0.36,1.18,1.89,4.27,0.98
Effective Concurrency,119.41,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,7.32
Effective Decode Concurrency,0.44,0.00,18.00,,,,,,0.00,,1.00,2.00,5.00,1.04
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),117.37,34.98,301.38,5632069.63,84.16,95.24,100.27,108.13,116.71,125.40,133.97,140.40,159.80,15.71
Effective Prefill Concurrency,118.97,0.00,128.00,,,,,,120.00,,127.00,128.00,128.00,7.47
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.51,1.00,4.00,72295.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,47984.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,19.36,753.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36
HTTP Connection Overhead (ms),0.02,0.00,34.55,893.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49
HTTP Connection Reused (ratio),1.00,0.00,1.00,47846.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,559360.36,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,820417.04,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.57,0.64
HTTP DNS Lookup (ms),0.00,0.00,16.08,139.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
HTTP Duration (excl. conn) (ms),111.93,33.48,293.73,5370642.67,79.53,90.73,95.87,103.48,111.89,120.16,127.49,132.22,143.00,14.21
HTTP Receiving (ms),0.41,0.00,47.39,19847.07,0.00,0.00,0.00,0.00,0.00,0.37,1.19,1.90,4.27,0.98
HTTP Sending (ms),0.39,0.05,30.39,18558.39,0.10,0.14,0.15,0.18,0.21,0.25,0.60,1.34,3.70,0.81
HTTP Total Time (ms),111.94,33.48,293.73,5371536.28,79.53,90.75,95.87,103.48,111.90,120.18,127.52,132.26,143.09,14.22
HTTP Waiting (TTFB) (ms),111.13,31.56,293.57,5332237.20,78.71,90.00,95.07,102.69,111.09,119.37,126.67,131.26,141.82,14.19
Inter Chunk Latency (ms),0.01,0.00,47.40,19502.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.15
Request Latency (ms),112.09,33.57,293.81,5378496.05,79.67,90.96,96.03,103.64,112.05,120.33,127.66,132.38,143.19,14.22
Time to First Output Token (ms),111.68,31.83,293.81,5358993.91,79.34,90.56,95.64,103.24,111.65,119.93,127.23,131.91,142.53,14.20
Time to First Token (ms),111.68,31.83,293.81,5358993.91,79.34,90.56,95.64,103.24,111.65,119.93,127.23,131.91,142.53,14.20
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.04
Request Count,47984.00
Request Throughput (requests/sec),1065.24


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
