Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),3.92,0.48,82.93,199350.48,0.70,0.84,0.96,1.47,2.59,4.58,7.82,11.09,23.03,4.64
Decode Duration (ms),0.41,0.00,38.95,20865.40,0.00,0.00,0.00,0.00,0.16,0.32,1.17,1.91,4.38,1.00
Effective Concurrency,121.20,0.00,128.00,,,,,,123.00,,128.00,128.00,128.00,7.07
Effective Decode Concurrency,0.47,0.00,25.00,,,,,,0.00,,1.00,2.00,5.00,1.14
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),111.24,27.65,283.80,5662439.97,66.67,87.90,93.84,101.63,110.34,120.43,131.11,137.39,149.90,16.56
Effective Prefill Concurrency,120.73,0.00,128.00,,,,,,122.00,,128.00,128.00,128.00,7.28
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.57,1.00,4.00,79884.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,50902.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,35.71,997.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50
HTTP Connection Overhead (ms),0.02,0.00,53.13,1151.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64
HTTP Connection Reused (ratio),1.00,0.00,1.00,50764.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,593376.15,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,870314.94,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,18.60,154.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),107.19,25.59,276.82,5456164.80,62.29,83.99,89.90,97.81,106.37,116.35,126.93,133.20,144.67,16.32
HTTP Receiving (ms),0.41,0.00,38.94,21075.88,0.00,0.00,0.00,0.00,0.17,0.32,1.18,1.91,4.40,1.02
HTTP Sending (ms),0.33,0.06,36.09,16715.00,0.11,0.14,0.15,0.17,0.20,0.24,0.37,0.98,2.75,0.73
HTTP Total Time (ms),107.21,25.59,276.82,5457316.27,62.59,84.08,89.93,97.83,106.38,116.36,126.93,133.22,144.71,16.30
HTTP Waiting (TTFB) (ms),106.45,25.33,269.49,5418373.92,61.08,83.23,89.15,97.12,105.62,115.61,126.22,132.52,143.86,16.32
Inter Chunk Latency (ms),0.01,0.00,38.95,20865.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.15
Request Latency (ms),107.32,25.67,276.90,5462891.15,62.37,84.12,90.04,97.96,106.51,116.48,127.05,133.33,144.78,16.32
Time to First Output Token (ms),106.91,25.67,269.76,5442025.75,62.10,83.80,89.62,97.58,106.07,116.07,126.67,132.95,144.32,16.29
Time to First Token (ms),106.91,25.67,269.76,5442025.75,62.10,83.80,89.62,97.58,106.07,116.07,126.67,132.95,144.32,16.29
Time to Second Token (ms),0.00,0.00,1.75,21.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.07
Request Count,50902.00
Request Throughput (requests/sec),1129.28


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
