Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.07,0.45,127.81,209599.82,0.70,0.85,0.99,1.52,2.66,4.76,8.29,11.77,23.85,4.83
Decode Duration (ms),0.40,0.00,33.43,20679.48,0.00,0.00,0.00,0.00,0.00,0.31,1.13,1.88,4.32,1.03
Effective Concurrency,120.84,0.00,129.00,,,,,,122.00,,128.00,128.00,128.00,7.34
Effective Decode Concurrency,0.46,0.00,23.00,,,,,,0.00,,1.00,2.00,5.00,1.13
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),109.83,7.60,325.93,5658689.96,40.52,87.38,94.62,101.70,109.06,118.13,128.16,134.58,151.94,18.80
Effective Prefill Concurrency,120.38,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,7.58
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.55,1.00,4.00,79964.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,0.59
HTTP Chunks Sent,1.00,1.00,1.00,51524.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,21.88,691.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Connection Overhead (ms),0.02,0.00,30.61,819.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
HTTP Connection Reused (ratio),1.00,0.00,1.00,51386.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,600626.94,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,880943.98,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,9.50,128.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
HTTP Duration (excl. conn) (ms),105.62,6.21,322.78,5442171.48,37.46,83.48,90.91,98.14,105.19,113.58,123.29,129.46,143.36,18.19
HTTP Receiving (ms),0.41,0.00,51.84,20967.01,0.00,0.00,0.00,0.00,0.13,0.32,1.13,1.88,4.37,1.08
HTTP Sending (ms),0.33,0.05,23.32,16918.29,0.10,0.14,0.15,0.17,0.20,0.24,0.39,1.02,2.77,0.63
HTTP Total Time (ms),105.64,6.21,322.78,5442991.15,37.47,83.56,90.91,98.14,105.19,113.58,123.29,129.46,143.36,18.15
HTTP Waiting (TTFB) (ms),104.89,5.96,314.48,5404286.18,36.82,82.88,90.27,97.47,104.50,112.85,122.50,128.62,142.25,18.12
Inter Chunk Latency (ms),0.01,0.00,33.43,20679.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.16
Request Latency (ms),105.75,6.25,322.87,5448809.72,37.50,83.63,91.04,98.27,105.32,113.72,123.43,129.57,143.44,18.19
Time to First Output Token (ms),105.35,6.09,314.91,5428130.24,37.26,83.37,90.71,97.94,104.97,113.28,122.94,129.09,142.72,18.10
Time to First Token (ms),105.35,6.09,314.91,5428130.24,37.26,83.37,90.71,97.94,104.97,113.28,122.94,129.09,142.72,18.10
Time to Second Token (ms),0.00,0.00,1.71,19.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.09
Request Count,51524.00
Request Throughput (requests/sec),1142.64


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
