Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),1.89,0.45,26.66,38295.96,0.60,0.69,0.76,0.90,1.35,2.32,3.66,4.73,7.90,1.57
Decode Duration (ms),0.10,0.00,7.68,1982.41,0.00,0.00,0.00,0.00,0.00,0.19,0.24,0.28,0.59,0.20
Effective Concurrency,126.25,0.00,128.00,,,,,,127.00,,128.00,128.00,128.00,5.81
Effective Decode Concurrency,0.04,0.00,4.00,,,,,,0.00,,0.00,0.00,1.00,0.22
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),284.06,54.61,1339.75,5756786.31,115.21,240.55,252.33,267.77,284.78,302.13,318.79,329.03,350.10,52.70
Effective Prefill Concurrency,126.20,0.00,128.00,,,,,,127.00,,128.00,128.00,128.00,5.82
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.40,1.00,4.00,28390.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,0.50
HTTP Chunks Sent,1.00,1.00,1.00,20266.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.54,0.00,1073.76,31225.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.12
HTTP Connection Overhead (ms),1.55,0.00,1083.68,31359.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.19
HTTP Connection Reused (ratio),0.99,0.00,1.00,20128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08
HTTP Data Received (KB),11.66,11.66,11.66,236245.35,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,346503.19,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.57,0.64
HTTP DNS Lookup (ms),0.01,0.00,10.62,134.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
HTTP Duration (excl. conn) (ms),282.08,50.74,1336.37,5716539.24,112.66,238.54,250.54,265.90,282.78,300.31,316.95,326.89,348.09,52.53
HTTP Receiving (ms),0.10,0.00,7.68,2022.64,0.00,0.00,0.00,0.00,0.00,0.19,0.25,0.28,0.61,0.20
HTTP Sending (ms),1.77,0.06,1074.08,35788.21,0.12,0.14,0.15,0.16,0.18,0.21,0.25,0.36,1.96,40.12
HTTP Total Time (ms),283.62,50.74,2417.72,5747898.95,114.26,238.54,250.54,265.90,282.78,300.31,316.95,326.89,348.09,86.52
HTTP Waiting (TTFB) (ms),280.21,50.53,449.35,5678728.40,110.65,237.98,250.08,265.46,282.35,299.84,316.41,326.32,345.85,35.53
Inter Chunk Latency (ms),0.00,0.00,7.55,1982.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Request Latency (ms),282.17,50.83,1337.42,5718479.02,112.60,238.71,250.65,265.98,282.87,300.41,317.03,326.97,348.18,52.53
Time to First Output Token (ms),282.07,50.83,1337.19,5716496.61,112.52,238.55,250.50,265.87,282.78,300.29,316.92,326.90,348.02,52.53
Time to First Token (ms),282.07,50.83,1337.19,5716496.61,112.52,238.55,250.50,265.87,282.78,300.29,316.92,326.90,348.02,52.53
Time to Second Token (ms),0.00,0.00,0.31,5.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.29
Request Count,20266.00
Request Throughput (requests/sec),447.42


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
