Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.74,0.48,101.14,236668.22,0.72,0.90,1.06,1.73,3.13,5.70,9.86,13.87,25.97,5.36
Decode Duration (ms),0.56,0.00,34.91,27765.16,0.00,0.00,0.00,0.00,0.18,0.48,1.67,2.56,5.49,1.25
Effective Concurrency,120.02,0.00,129.00,,,,,,122.00,,128.00,128.00,128.00,7.90
Effective Decode Concurrency,0.62,0.00,23.00,,,,,,0.00,,2.00,3.00,7.00,1.38
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),112.97,47.91,275.77,5645523.65,75.45,88.66,94.28,102.75,112.06,122.45,132.61,139.08,154.77,16.38
Effective Prefill Concurrency,119.40,0.00,128.00,,,,,,121.00,,128.00,128.00,128.00,8.19
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.59,1.00,5.00,79410.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,49975.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,30.76,1149.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56
HTTP Connection Overhead (ms),0.03,0.00,47.36,1307.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69
HTTP Connection Reused (ratio),1.00,0.00,1.00,49837.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,582569.90,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,854486.47,15.60,16.04,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,16.60,157.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),108.09,44.59,268.31,5401684.09,70.85,84.35,90.11,98.50,107.54,117.33,126.71,132.69,145.07,15.56
HTTP Receiving (ms),0.56,0.00,34.90,27923.40,0.00,0.00,0.00,0.00,0.19,0.49,1.67,2.56,5.46,1.25
HTTP Sending (ms),0.36,0.06,34.63,17838.05,0.10,0.14,0.15,0.18,0.20,0.24,0.44,1.14,3.27,0.82
HTTP Total Time (ms),108.11,44.59,268.31,5402991.16,70.88,84.36,90.11,98.50,107.55,117.36,126.75,132.72,145.17,15.58
HTTP Waiting (TTFB) (ms),107.17,44.42,265.31,5355922.64,70.00,83.55,89.30,97.67,106.65,116.39,125.66,131.64,143.89,15.46
Inter Chunk Latency (ms),0.01,0.00,34.91,27765.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.19
Request Latency (ms),108.23,44.67,268.42,5408638.44,71.07,84.50,90.23,98.62,107.68,117.46,126.86,132.81,145.24,15.57
Time to First Output Token (ms),107.67,44.67,266.59,5380873.28,70.44,84.05,89.75,98.16,107.16,116.88,126.16,132.12,144.46,15.46
Time to First Token (ms),107.67,44.67,266.59,5380873.28,70.44,84.05,89.75,98.16,107.16,116.88,126.16,132.12,144.46,15.46
Time to Second Token (ms),0.00,0.00,3.12,27.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.06
Request Count,49975.00
Request Throughput (requests/sec),1108.94


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
