Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),7.15,0.40,231.92,343700.22,0.76,0.99,1.27,2.20,4.14,8.00,15.26,22.99,49.54,10.17
Decode Duration (ms),0.39,0.00,53.93,18540.52,0.00,0.00,0.00,0.00,0.00,0.28,1.00,1.92,5.20,1.26
Effective Concurrency,115.82,0.00,129.00,,,,,,118.00,,126.00,127.00,128.00,11.73
Effective Decode Concurrency,0.42,0.00,16.00,,,,,,0.00,,1.00,2.00,5.00,0.99
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),115.73,6.51,346.87,5563026.93,21.47,92.80,98.60,106.23,114.82,124.86,136.46,145.55,176.12,21.90
Effective Prefill Concurrency,115.40,0.00,128.00,,,,,,118.00,,126.00,127.00,128.00,11.84
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.42,1.00,4.00,68308.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.56
HTTP Chunks Sent,1.00,1.00,1.00,48069.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,80.02,808.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55
HTTP Connection Overhead (ms),0.02,0.00,121.16,990.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76
HTTP Connection Reused (ratio),1.00,0.00,1.00,47931.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,560351.22,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,821876.91,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.57,0.64
HTTP DNS Lookup (ms),0.00,0.00,41.13,182.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
HTTP Duration (excl. conn) (ms),108.40,4.71,340.93,5210907.34,15.78,87.78,93.52,100.83,108.61,117.19,126.56,133.11,148.24,19.29
HTTP Receiving (ms),0.39,0.00,53.92,18727.05,0.00,0.00,0.00,0.00,0.00,0.28,1.01,1.93,5.22,1.28
HTTP Sending (ms),0.43,0.05,80.47,20853.88,0.08,0.12,0.15,0.18,0.21,0.26,0.76,1.57,4.38,1.11
HTTP Total Time (ms),108.43,4.71,340.93,5211898.33,15.78,87.78,93.52,100.83,108.61,117.19,126.61,133.16,148.50,19.34
HTTP Waiting (TTFB) (ms),107.58,4.54,337.42,5171326.41,15.44,87.05,92.75,100.06,107.82,116.32,125.60,132.08,146.92,19.16
Inter Chunk Latency (ms),0.01,0.00,53.93,18540.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19
Request Latency (ms),108.58,4.76,341.18,5219156.43,15.84,87.93,93.68,100.98,108.79,117.36,126.74,133.31,148.44,19.31
Time to First Output Token (ms),108.19,4.66,337.96,5200615.91,15.77,87.60,93.33,100.64,108.42,117.00,126.30,132.87,147.88,19.23
Time to First Token (ms),108.19,4.66,337.96,5200615.91,15.77,87.60,93.33,100.64,108.42,117.00,126.30,132.87,147.88,19.23
Time to Second Token (ms),0.00,0.00,1.80,23.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.06
Request Count,48069.00
Request Throughput (requests/sec),1066.64


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
