Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),5.82,0.47,183.65,277226.66,0.76,0.95,1.15,1.90,3.47,6.56,12.08,18.09,39.66,8.07
Decode Duration (ms),0.42,0.00,55.26,19991.13,0.00,0.00,0.00,0.00,0.00,0.30,1.14,1.99,5.04,1.24
Effective Concurrency,118.74,0.00,128.00,,,,,,120.00,,127.00,128.00,128.00,8.04
Effective Decode Concurrency,0.45,0.00,17.00,,,,,,0.00,,1.00,2.00,5.00,1.04
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),118.12,42.19,330.27,5627081.49,74.30,95.34,100.78,108.62,116.99,126.18,136.08,143.98,170.29,17.40
Effective Prefill Concurrency,118.29,0.00,128.00,,,,,,120.00,,127.00,128.00,128.00,8.23
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.49,1.00,5.00,70854.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,47637.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,19.37,823.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
HTTP Connection Overhead (ms),0.02,0.00,31.94,989.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53
HTTP Connection Reused (ratio),1.00,0.00,1.00,47499.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,555315.30,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,814481.10,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,13.48,165.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
HTTP Duration (excl. conn) (ms),112.14,39.07,310.06,5341934.10,68.54,90.57,96.18,103.89,111.93,120.19,128.50,134.12,149.61,15.23
HTTP Receiving (ms),0.42,0.00,55.26,20148.48,0.00,0.00,0.00,0.00,0.00,0.31,1.15,1.99,5.06,1.24
HTTP Sending (ms),0.39,0.06,38.42,18692.73,0.09,0.13,0.15,0.18,0.21,0.25,0.60,1.37,3.91,0.86
HTTP Total Time (ms),112.16,39.07,310.06,5342923.52,68.56,90.61,96.20,103.90,111.94,120.21,128.53,134.17,149.68,15.24
HTTP Waiting (TTFB) (ms),111.32,38.92,309.02,5303092.89,67.89,89.67,95.35,103.13,111.18,119.39,127.70,133.03,148.39,15.16
Inter Chunk Latency (ms),0.01,0.00,55.26,19991.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19
Request Latency (ms),112.30,39.16,310.14,5349697.73,68.77,90.73,96.33,104.05,112.09,120.38,128.70,134.29,149.74,15.24
Time to First Output Token (ms),111.88,39.16,309.43,5329706.60,68.51,90.25,95.91,103.66,111.74,119.95,128.25,133.70,149.05,15.18
Time to First Token (ms),111.88,39.16,309.43,5329706.60,68.51,90.25,95.91,103.66,111.74,119.95,128.25,133.70,149.05,15.18
Time to Second Token (ms),0.00,0.00,3.18,22.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.05
Request Count,47637.00
Request Throughput (requests/sec),1057.29


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
