Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),6.32,0.41,194.96,305947.45,0.73,0.92,1.11,1.85,3.46,6.93,13.47,21.00,47.79,9.22
Decode Duration (ms),0.32,0.00,48.68,15252.82,0.00,0.00,0.00,0.00,0.00,0.27,0.75,1.50,4.01,1.02
Effective Concurrency,117.93,0.00,129.00,,,,,,120.00,,127.00,128.00,128.00,9.14
Effective Decode Concurrency,0.40,0.00,16.00,,,,,,0.00,,1.00,2.00,4.00,0.88
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),116.00,6.50,331.73,5615217.12,19.27,60.09,95.47,107.22,117.60,129.07,141.09,150.59,179.96,26.80
Effective Prefill Concurrency,117.53,0.00,128.00,,,,,,120.00,,127.00,128.00,128.00,9.28
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.45,1.00,4.00,70415.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.56
HTTP Chunks Sent,1.00,1.00,1.00,48405.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,92.98,2810.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48
HTTP Connection Overhead (ms),0.07,0.00,143.93,3369.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98
HTTP Connection Reused (ratio),1.00,0.00,1.00,48267.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,564268.05,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,827621.16,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,58.23,559.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63
HTTP Duration (excl. conn) (ms),109.51,5.31,244.17,5300957.92,15.36,52.87,90.44,102.39,112.06,122.83,133.07,140.08,156.11,25.10
HTTP Receiving (ms),0.37,0.00,48.67,18120.03,0.00,0.00,0.00,0.00,0.00,0.29,0.89,1.73,4.79,1.26
HTTP Sending (ms),0.44,0.05,93.41,21417.46,0.09,0.13,0.15,0.18,0.21,0.26,0.55,1.38,4.32,1.72
HTTP Total Time (ms),109.58,5.31,356.04,5304327.34,15.36,52.87,90.46,102.41,112.06,122.84,133.13,140.15,156.48,25.31
HTTP Waiting (TTFB) (ms),108.70,5.21,243.97,5261420.44,15.11,52.13,89.46,101.65,111.32,122.02,132.12,139.18,154.49,24.95
Inter Chunk Latency (ms),0.01,0.00,48.68,15252.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),109.63,5.37,252.59,5306406.32,15.42,53.06,90.52,102.51,112.18,122.93,133.20,140.16,156.15,25.10
Time to First Output Token (ms),109.31,5.37,252.59,5291153.51,15.29,52.72,90.23,102.23,111.88,122.60,132.85,139.82,155.60,25.07
Time to First Token (ms),109.31,5.37,252.59,5291153.51,15.29,52.72,90.23,102.23,111.88,122.60,132.85,139.82,155.60,25.07
Time to Second Token (ms),0.00,0.00,2.93,26.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,48405.00
Request Throughput (requests/sec),1075.22


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
