Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.47,0.37,146.03,220690.64,0.72,0.91,1.05,1.61,2.88,5.23,9.11,13.00,27.59,5.51
Decode Duration (ms),0.34,0.00,29.34,16744.59,0.00,0.00,0.00,0.00,0.00,0.29,0.92,1.66,3.81,0.90
Effective Concurrency,120.57,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,6.88
Effective Decode Concurrency,0.38,0.00,15.00,,,,,,0.00,,1.00,2.00,4.00,0.94
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),114.50,10.83,280.73,5648929.64,20.28,91.50,99.85,108.07,116.17,124.29,132.66,138.27,153.29,20.45
Effective Prefill Concurrency,120.19,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,7.04
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.49,1.00,6.00,73622.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,49334.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,33.89,1255.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61
HTTP Connection Overhead (ms),0.03,0.00,48.99,1428.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74
HTTP Connection Reused (ratio),1.00,0.00,1.00,49196.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,575097.62,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,843506.30,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,15.64,173.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),109.88,8.14,279.30,5420786.04,17.84,87.45,95.62,104.04,111.94,119.68,127.16,131.97,143.62,19.64
HTTP Receiving (ms),0.34,0.00,29.33,16934.51,0.00,0.00,0.00,0.00,0.00,0.29,0.93,1.66,3.82,0.91
HTTP Sending (ms),0.38,0.06,34.13,18563.80,0.10,0.14,0.16,0.19,0.22,0.26,0.50,1.19,3.35,0.85
HTTP Total Time (ms),109.91,8.14,279.30,5422214.36,17.84,87.45,95.62,104.04,111.95,119.68,127.20,132.05,143.97,19.70
HTTP Waiting (TTFB) (ms),109.16,8.04,276.87,5385287.72,17.53,86.76,94.97,103.35,111.27,118.92,126.32,131.02,142.25,19.54
Inter Chunk Latency (ms),0.01,0.00,29.34,16744.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Request Latency (ms),110.03,8.20,279.46,5428052.01,17.89,87.60,95.79,104.19,112.10,119.82,127.31,132.11,143.73,19.66
Time to First Output Token (ms),109.69,8.20,277.20,5411307.42,17.75,87.25,95.45,103.87,111.78,119.47,126.90,131.76,143.18,19.61
Time to First Token (ms),109.69,8.20,277.20,5411307.42,17.75,87.25,95.45,103.87,111.78,119.47,126.90,131.76,143.18,19.61
Time to Second Token (ms),0.00,0.00,3.31,20.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.02
Request Count,49334.00
Request Throughput (requests/sec),1095.76


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
