Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.34,0.39,98.46,213826.10,0.68,0.87,1.01,1.58,2.80,5.10,8.99,12.82,25.72,5.09
Decode Duration (ms),0.39,0.00,26.65,19026.49,0.00,0.00,0.00,0.00,0.00,0.31,1.10,1.81,4.14,0.94
Effective Concurrency,120.73,0.00,128.00,,,,,,122.00,,128.00,128.00,128.00,7.08
Effective Decode Concurrency,0.43,0.00,22.00,,,,,,0.00,,1.00,2.00,5.00,1.05
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),114.65,12.23,276.75,5649088.58,31.11,78.69,99.60,108.30,116.34,125.08,134.82,141.86,158.44,21.93
Effective Prefill Concurrency,120.30,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,7.26
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.55,1.00,4.00,76433.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.59
HTTP Chunks Sent,1.00,1.00,1.00,49271.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,33.92,1179.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57
HTTP Connection Overhead (ms),0.03,0.00,50.75,1417.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77
HTTP Connection Reused (ratio),1.00,0.00,1.00,49133.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,574363.21,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,842425.21,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.57,0.64
HTTP DNS Lookup (ms),0.00,0.00,17.62,238.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
HTTP Duration (excl. conn) (ms),110.17,8.92,275.43,5428117.88,29.04,73.24,95.85,104.50,112.16,120.21,129.26,135.69,150.21,21.15
HTTP Receiving (ms),0.39,0.00,38.23,19228.50,0.00,0.00,0.00,0.00,0.00,0.31,1.10,1.82,4.16,0.96
HTTP Sending (ms),0.34,0.05,34.25,16864.03,0.09,0.13,0.15,0.17,0.20,0.24,0.42,1.06,3.06,0.81
HTTP Total Time (ms),110.20,8.92,275.43,5429535.49,29.04,73.24,95.85,104.50,112.17,120.22,129.31,135.81,150.90,21.20
HTTP Waiting (TTFB) (ms),109.44,8.59,274.47,5392025.34,28.66,72.53,95.20,103.77,111.44,119.46,128.42,134.80,149.26,21.06
Inter Chunk Latency (ms),0.01,0.00,26.65,19026.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.14
Request Latency (ms),110.31,8.96,275.52,5435075.49,29.10,73.33,95.97,104.63,112.32,120.34,129.40,135.82,150.35,21.16
Time to First Output Token (ms),109.92,8.75,275.52,5416049.00,28.90,73.13,95.64,104.26,111.92,119.94,128.96,135.31,149.82,21.12
Time to First Token (ms),109.92,8.75,275.52,5416049.00,28.90,73.13,95.64,104.26,111.92,119.94,128.96,135.31,149.82,21.12
Time to Second Token (ms),0.00,0.00,2.24,21.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.02
Request Count,49271.00
Request Throughput (requests/sec),1094.42


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
