Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),5.49,0.45,139.32,266267.21,0.74,0.92,1.09,1.77,3.24,6.12,11.46,17.29,37.61,7.61
Decode Duration (ms),0.39,0.00,222.05,19097.79,0.00,0.00,0.00,0.00,0.00,0.28,1.00,1.77,4.73,2.43
Effective Concurrency,119.08,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,8.21
Effective Decode Concurrency,0.43,0.00,23.00,,,,,,0.00,,1.00,2.00,5.00,1.09
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),116.21,6.58,485.43,5636555.85,73.09,92.71,98.24,106.04,114.81,125.19,135.94,143.30,163.12,17.74
Effective Prefill Concurrency,118.65,0.00,128.00,,,,,,120.00,,127.00,128.00,128.00,8.38
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.47,1.00,5.00,71361.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,48503.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,46.79,1094.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62
HTTP Connection Overhead (ms),0.03,0.00,63.16,1339.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84
HTTP Connection Reused (ratio),1.00,0.00,1.00,48365.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,565410.46,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,829284.97,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,23.53,245.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Duration (excl. conn) (ms),110.56,5.50,483.83,5362683.74,67.67,87.83,93.70,101.41,109.72,119.32,129.33,135.40,147.57,16.39
HTTP Receiving (ms),0.40,0.00,221.66,19234.51,0.00,0.00,0.00,0.00,0.00,0.29,1.00,1.77,4.77,2.43
HTTP Sending (ms),0.38,0.05,47.17,18334.72,0.09,0.13,0.15,0.17,0.20,0.24,0.53,1.26,3.58,0.98
HTTP Total Time (ms),110.59,5.50,483.83,5364023.41,67.67,87.87,93.75,101.43,109.74,119.33,129.34,135.44,147.60,16.37
HTTP Waiting (TTFB) (ms),109.79,5.09,336.56,5325114.51,66.91,86.96,92.98,100.71,109.01,118.61,128.59,134.64,146.61,16.05
Inter Chunk Latency (ms),0.01,0.00,222.05,19097.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35
Request Latency (ms),110.72,5.60,483.93,5370176.19,67.81,87.97,93.85,101.56,109.87,119.48,129.48,135.62,147.69,16.40
Time to First Output Token (ms),110.32,5.40,336.81,5351078.41,67.57,87.66,93.54,101.22,109.50,119.09,129.11,135.19,147.16,16.00
Time to First Token (ms),110.32,5.40,336.81,5351078.41,67.57,87.66,93.54,101.22,109.50,119.09,129.11,135.19,147.16,16.00
Time to Second Token (ms),0.00,0.00,3.37,25.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.09
Request Count,48503.00
Request Throughput (requests/sec),1075.51


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
