Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.80,0.36,179.73,237204.67,0.66,0.89,1.05,1.66,2.98,5.57,9.86,14.31,30.30,6.26
Decode Duration (ms),0.34,0.00,38.75,16740.14,0.00,0.00,0.00,0.00,0.00,0.28,0.90,1.65,4.12,0.94
Effective Concurrency,119.84,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,8.11
Effective Decode Concurrency,0.38,0.00,22.00,,,,,,0.00,,1.00,2.00,4.00,0.95
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),114.06,5.25,280.36,5633800.63,17.45,28.92,99.82,110.23,118.23,126.54,135.48,141.98,159.63,27.13
Effective Prefill Concurrency,119.46,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,8.23
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.48,1.00,4.00,72976.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,49393.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,75.53,1220.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83
HTTP Connection Overhead (ms),0.03,0.00,120.31,1524.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15
HTTP Connection Reused (ratio),1.00,0.00,1.00,49255.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,575785.39,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,844521.97,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,44.78,304.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
HTTP Duration (excl. conn) (ms),109.11,4.15,259.29,5389190.92,15.15,23.76,95.97,106.14,113.77,121.28,129.06,134.34,146.10,25.90
HTTP Receiving (ms),0.34,0.00,38.75,16882.24,0.00,0.00,0.00,0.00,0.00,0.28,0.90,1.65,4.12,0.95
HTTP Sending (ms),0.38,0.05,75.92,18603.55,0.08,0.12,0.14,0.17,0.20,0.25,0.51,1.21,3.44,1.12
HTTP Total Time (ms),109.14,4.15,324.64,5390715.24,15.15,23.76,95.97,106.14,113.78,121.29,129.08,134.37,146.16,25.97
HTTP Waiting (TTFB) (ms),108.39,3.77,253.85,5353705.14,14.92,23.44,95.32,105.49,113.08,120.50,128.20,133.39,145.07,25.75
Inter Chunk Latency (ms),0.01,0.00,38.75,16740.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Request Latency (ms),109.26,4.22,259.40,5396441.38,15.20,23.83,96.12,106.29,113.92,121.43,129.21,134.52,146.27,25.92
Time to First Output Token (ms),108.92,4.00,254.23,5379701.23,15.11,23.69,95.84,106.00,113.60,121.06,128.77,134.04,145.85,25.86
Time to First Token (ms),108.92,4.00,254.23,5379701.23,15.11,23.69,95.84,106.00,113.60,121.06,128.77,134.04,145.85,25.86
Time to Second Token (ms),0.00,0.00,10.58,37.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.03
Request Count,49393.00
Request Throughput (requests/sec),1096.81


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
