Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),3.55,0.47,68.77,167853.30,0.69,0.82,0.92,1.35,2.37,4.20,7.13,10.03,20.10,4.00
Decode Duration (ms),0.40,0.00,22.97,18702.41,0.00,0.00,0.00,0.00,0.17,0.31,1.11,1.81,4.15,0.96
Effective Concurrency,122.19,0.00,128.00,,,,,,124.00,,128.00,128.00,128.00,6.63
Effective Decode Concurrency,0.42,0.00,18.00,,,,,,0.00,,1.00,2.00,5.00,1.09
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),120.10,23.73,321.55,5679121.02,67.18,99.28,105.18,112.32,119.62,127.58,136.21,142.76,159.98,16.91
Effective Prefill Concurrency,121.77,0.00,128.00,,,,,,123.00,,128.00,128.00,128.00,6.87
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.58,1.00,4.00,74765.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,47288.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,22.18,817.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
HTTP Connection Overhead (ms),0.02,0.00,37.76,979.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54
HTTP Connection Reused (ratio),1.00,0.00,1.00,47150.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,551246.93,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,808507.42,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,15.59,161.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
HTTP Duration (excl. conn) (ms),116.42,21.65,319.66,5505126.35,60.88,95.59,102.04,109.04,116.23,123.79,132.05,138.12,154.35,16.77
HTTP Receiving (ms),0.40,0.00,36.41,18907.45,0.00,0.00,0.00,0.00,0.17,0.31,1.12,1.81,4.17,0.98
HTTP Sending (ms),0.31,0.05,22.51,14834.16,0.11,0.14,0.15,0.17,0.20,0.23,0.35,0.92,2.57,0.61
HTTP Total Time (ms),116.44,24.82,319.66,5506105.55,61.13,95.68,102.04,109.04,116.23,123.80,132.05,138.12,154.35,16.72
HTTP Waiting (TTFB) (ms),115.70,17.64,319.50,5471384.74,58.96,94.87,101.37,108.40,115.55,123.06,131.26,137.29,153.46,16.75
Inter Chunk Latency (ms),0.01,0.00,22.88,18702.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.15
Request Latency (ms),116.54,21.75,319.74,5511083.92,60.96,95.72,102.16,109.18,116.36,123.91,132.15,138.29,154.56,16.77
Time to First Output Token (ms),116.15,21.41,319.74,5492381.50,60.65,95.29,101.82,108.82,116.00,123.49,131.66,137.75,153.95,16.70
Time to First Token (ms),116.15,21.41,319.74,5492381.50,60.65,95.29,101.82,108.82,116.00,123.49,131.66,137.75,153.95,16.70
Time to Second Token (ms),0.00,0.00,4.47,21.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,47288.00
Request Throughput (requests/sec),1048.44


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
