Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),5.84,0.42,139.10,286415.38,0.75,0.94,1.12,1.87,3.47,6.52,12.27,18.45,41.11,7.83
Decode Duration (ms),0.37,0.00,47.35,18183.20,0.00,0.00,0.00,0.00,0.00,0.29,1.01,1.84,4.57,1.10
Effective Concurrency,118.00,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,11.23
Effective Decode Concurrency,0.41,0.00,19.00,,,,,,0.00,,1.00,2.00,5.00,1.00
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),114.32,8.16,263.94,5610281.93,26.76,90.85,99.38,107.44,115.37,123.96,133.01,139.40,155.36,19.66
Effective Prefill Concurrency,117.59,0.00,128.00,,,,,,120.00,,127.00,128.00,128.00,11.31
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.46,1.00,4.00,71417.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,49077.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,84.21,2133.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14
HTTP Connection Overhead (ms),0.05,0.00,107.90,2381.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32
HTTP Connection Reused (ratio),1.00,0.00,1.00,48939.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,572101.71,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,839108.73,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,29.80,248.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
HTTP Duration (excl. conn) (ms),108.32,6.08,190.45,5316158.72,17.19,84.29,94.92,102.97,110.51,118.34,125.96,130.99,141.38,19.84
HTTP Receiving (ms),0.37,0.00,47.35,18317.32,0.00,0.00,0.00,0.00,0.00,0.29,1.02,1.85,4.57,1.11
HTTP Sending (ms),0.41,0.05,84.48,20065.60,0.08,0.12,0.14,0.17,0.20,0.25,0.54,1.32,3.85,1.41
HTTP Total Time (ms),108.37,6.08,254.96,5318540.40,17.22,84.49,94.97,102.98,110.52,118.34,125.96,131.01,141.44,19.80
HTTP Waiting (TTFB) (ms),107.54,5.85,190.21,5277775.80,16.65,83.31,94.14,102.26,109.78,117.57,125.16,130.13,140.31,19.88
Inter Chunk Latency (ms),0.01,0.00,47.35,18183.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
Request Latency (ms),108.48,6.13,190.54,5323725.57,17.29,84.44,95.06,103.11,110.64,118.50,126.11,131.16,141.52,19.83
Time to First Output Token (ms),108.11,6.02,190.54,5305542.37,17.16,84.11,94.70,102.78,110.28,118.09,125.68,130.64,140.92,19.76
Time to First Token (ms),108.11,6.02,190.54,5305542.37,17.16,84.11,94.70,102.78,110.28,118.09,125.68,130.64,140.92,19.76
Time to Second Token (ms),0.00,0.00,3.49,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.11
Request Count,49077.00
Request Throughput (requests/sec),1087.76


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
