Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.17,0.44,90.68,214298.05,0.70,0.88,1.02,1.55,2.76,4.96,8.58,12.00,23.67,4.75
Decode Duration (ms),0.35,0.00,28.69,17959.34,0.00,0.00,0.00,0.00,0.00,0.29,0.94,1.66,3.90,0.92
Effective Concurrency,120.74,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,6.48
Effective Decode Concurrency,0.40,0.00,21.00,,,,,,0.00,,1.00,2.00,5.00,1.03
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),110.05,22.55,287.18,5650984.36,42.74,80.77,94.78,103.42,111.32,119.35,128.04,133.92,147.91,18.39
Effective Prefill Concurrency,120.33,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,6.67
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.51,1.00,4.00,77730.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,51347.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,64.75,1660.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91
HTTP Connection Overhead (ms),0.04,0.00,95.25,1931.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16
HTTP Connection Reused (ratio),1.00,0.00,1.00,51209.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,598563.61,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,877913.10,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,36.95,270.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31
HTTP Duration (excl. conn) (ms),105.74,21.09,267.22,5429327.70,40.70,77.25,90.99,99.60,107.23,114.76,122.77,128.28,139.57,17.47
HTTP Receiving (ms),0.36,0.00,39.29,18247.47,0.00,0.00,0.00,0.00,0.00,0.29,0.96,1.67,3.91,0.96
HTTP Sending (ms),0.36,0.06,65.15,18521.86,0.11,0.14,0.16,0.18,0.21,0.25,0.41,1.06,3.07,1.09
HTTP Total Time (ms),105.78,21.09,267.22,5431258.73,40.70,77.31,91.00,99.60,107.25,114.78,122.80,128.33,139.74,17.55
HTTP Waiting (TTFB) (ms),105.02,20.94,266.79,5392558.36,40.23,76.51,90.33,98.90,106.53,114.05,122.00,127.45,138.47,17.39
Inter Chunk Latency (ms),0.01,0.00,28.69,17959.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14
Request Latency (ms),105.88,21.18,267.29,5436409.84,40.77,77.43,91.12,99.74,107.38,114.92,122.93,128.40,139.67,17.47
Time to First Output Token (ms),105.53,21.18,267.01,5418450.50,40.46,76.98,90.81,99.42,107.04,114.57,122.53,127.96,139.17,17.44
Time to First Token (ms),105.53,21.18,267.01,5418450.50,40.46,76.98,90.81,99.42,107.04,114.57,122.53,127.96,139.17,17.44
Time to Second Token (ms),0.00,0.00,2.21,21.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.02
Request Count,51347.00
Request Throughput (requests/sec),1140.29


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
