Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),3.53,0.39,95.27,176783.24,0.71,0.85,0.96,1.41,2.41,4.11,6.93,9.82,19.99,4.00
Decode Duration (ms),0.27,0.00,30.83,13438.01,0.00,0.00,0.00,0.00,0.00,0.26,0.60,1.21,3.11,0.79
Effective Concurrency,121.69,0.00,128.00,,,,,,123.00,,127.00,128.00,128.00,7.60
Effective Decode Concurrency,0.30,0.00,17.00,,,,,,0.00,,1.00,2.00,4.00,0.80
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),113.29,15.34,217.66,5665473.77,43.47,93.96,101.22,107.97,114.43,121.03,127.67,132.39,145.22,15.50
Effective Prefill Concurrency,121.39,0.00,128.00,,,,,,123.00,,127.00,128.00,128.00,7.70
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.49,1.00,4.00,74474.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,50010.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,50.59,1801.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88
HTTP Connection Overhead (ms),0.04,0.00,72.26,2137.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15
HTTP Connection Reused (ratio),1.00,0.00,1.00,49872.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,582977.90,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,855084.88,15.60,16.04,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,29.89,335.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35
HTTP Duration (excl. conn) (ms),109.62,10.25,214.65,5482217.99,36.83,90.26,98.05,104.80,111.11,117.53,123.78,128.14,140.12,15.93
HTTP Receiving (ms),0.27,0.00,38.90,13628.85,0.00,0.00,0.00,0.00,0.00,0.26,0.61,1.22,3.11,0.82
HTTP Sending (ms),0.34,0.06,51.05,16870.02,0.11,0.14,0.16,0.18,0.20,0.24,0.36,0.93,2.57,1.01
HTTP Total Time (ms),109.67,10.25,214.65,5484354.99,37.32,90.36,98.07,104.81,111.12,117.54,123.79,128.16,140.27,15.84
HTTP Waiting (TTFB) (ms),109.01,8.11,214.49,5451719.12,35.07,89.58,97.51,104.26,110.56,116.96,123.18,127.51,139.17,16.04
Inter Chunk Latency (ms),0.01,0.00,30.83,13438.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
Request Latency (ms),109.75,10.30,214.73,5488529.64,37.05,90.38,98.17,104.92,111.23,117.65,123.90,128.26,140.24,15.93
Time to First Output Token (ms),109.48,9.32,214.73,5475091.63,36.83,90.09,97.94,104.69,111.00,117.38,123.60,127.90,139.59,15.89
Time to First Token (ms),109.48,9.32,214.73,5475091.63,36.83,90.09,97.94,104.69,111.00,117.38,123.60,127.90,139.59,15.89
Time to Second Token (ms),0.00,0.00,2.01,21.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,50010.00
Request Throughput (requests/sec),1108.74


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
