Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),7.50,0.52,3146.08,325111.70,0.78,0.98,1.17,1.95,3.62,7.01,13.56,21.31,54.49,35.56
Decode Duration (ms),0.44,0.00,210.96,19245.73,0.00,0.00,0.00,0.00,0.00,0.30,1.18,2.12,5.61,1.97
Effective Concurrency,107.85,0.00,128.00,,,,,,119.00,,127.00,128.00,128.00,33.10
Effective Decode Concurrency,0.43,0.00,27.00,,,,,,0.00,,1.00,2.00,5.00,1.19
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),119.60,16.25,3540.65,5183839.89,65.23,93.00,101.31,109.70,117.86,126.59,136.76,145.52,177.42,48.28
Effective Prefill Concurrency,107.42,0.00,128.00,,,,,,119.00,,126.00,128.00,128.00,33.03
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.46,1.00,4.00,63350.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,43344.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,44.98,1616.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86
HTTP Connection Overhead (ms),0.04,0.00,62.76,1872.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08
HTTP Connection Reused (ratio),1.00,0.00,1.00,43206.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.66,11.66,11.66,505270.83,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,741084.92,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,25.21,256.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
HTTP Duration (excl. conn) (ms),111.93,9.73,3458.66,4851328.04,56.12,85.61,96.06,104.54,112.42,120.20,127.90,133.82,149.66,32.88
HTTP Receiving (ms),0.45,0.00,210.95,19369.53,0.00,0.00,0.00,0.00,0.00,0.30,1.19,2.12,5.61,1.97
HTTP Sending (ms),0.43,0.05,430.55,18423.43,0.09,0.13,0.15,0.17,0.20,0.25,0.58,1.36,4.11,2.43
HTTP Total Time (ms),111.97,9.73,3458.66,4853200.78,56.13,85.74,96.09,104.56,112.43,120.21,127.93,133.90,149.87,32.90
HTTP Waiting (TTFB) (ms),111.05,9.47,3458.46,4813535.07,55.03,84.42,95.19,103.81,111.66,119.38,126.97,132.70,148.06,32.69
Inter Chunk Latency (ms),0.01,0.00,210.96,19245.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
Request Latency (ms),112.09,9.88,3458.75,4858592.90,56.31,85.85,96.18,104.72,112.59,120.36,128.05,134.01,149.91,32.93
Time to First Output Token (ms),111.65,9.88,3458.75,4839347.17,55.79,85.25,95.84,104.36,112.22,119.94,127.55,133.35,148.76,32.88
Time to First Token (ms),111.65,9.88,3458.75,4839347.17,55.79,85.25,95.84,104.36,112.22,119.94,127.55,133.35,148.76,32.88
Time to Second Token (ms),0.00,0.00,3.47,19.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.05
Request Count,43344.00
Request Throughput (requests/sec),962.08


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
