Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.07,0.42,99.35,197015.92,0.69,0.86,1.00,1.53,2.72,4.87,8.28,11.52,22.89,4.50
Decode Duration (ms),0.38,0.00,39.91,18495.11,0.00,0.00,0.00,0.00,0.00,0.30,1.06,1.81,4.28,1.00
Effective Concurrency,121.25,0.00,128.00,,,,,,123.00,,128.00,128.00,128.00,7.11
Effective Decode Concurrency,0.41,0.00,18.00,,,,,,0.00,,1.00,2.00,5.00,1.05
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),116.92,12.36,1138.14,5666514.01,37.43,93.55,102.32,109.72,116.79,124.33,132.19,137.84,157.62,37.43
Effective Prefill Concurrency,120.84,0.00,128.00,,,,,,122.00,,128.00,128.00,128.00,7.31
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.53,1.00,4.00,73966.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,48465.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.06,0.00,1031.33,51446.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.81
HTTP Connection Overhead (ms),1.06,0.00,1036.69,51568.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.84
HTTP Connection Reused (ratio),1.00,0.00,1.00,48327.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,564967.49,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,828640.95,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,10.30,122.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
HTTP Duration (excl. conn) (ms),112.72,7.52,1135.49,5463038.09,33.43,89.90,98.85,106.15,112.94,120.01,127.11,132.13,148.41,37.26
HTTP Receiving (ms),0.38,0.00,39.91,18605.33,0.00,0.00,0.00,0.00,0.00,0.31,1.06,1.82,4.27,1.00
HTTP Sending (ms),1.36,0.05,1031.78,66083.94,0.09,0.13,0.15,0.17,0.20,0.24,0.36,0.96,2.71,32.81
HTTP Total Time (ms),113.79,7.52,2167.69,5514606.83,33.50,90.03,98.85,106.15,112.94,120.01,127.11,132.13,148.41,67.65
HTTP Waiting (TTFB) (ms),110.97,7.25,283.44,5378348.82,33.06,88.91,98.14,105.49,112.29,119.26,126.25,131.11,145.63,18.81
Inter Chunk Latency (ms),0.01,0.00,39.91,18495.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.15
Request Latency (ms),112.85,7.62,1135.70,5469402.28,33.50,90.05,98.97,106.29,113.07,120.16,127.26,132.27,148.51,37.26
Time to First Output Token (ms),112.47,7.62,1135.70,5450907.16,33.32,89.65,98.68,105.96,112.73,119.73,126.75,131.72,147.70,37.18
Time to First Token (ms),112.47,7.62,1135.70,5450907.16,33.32,89.65,98.68,105.96,112.73,119.73,126.75,131.72,147.70,37.18
Time to Second Token (ms),0.00,0.00,2.72,27.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,48465.00
Request Throughput (requests/sec),1074.42


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
