Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.68,0.38,224.93,228651.75,0.68,0.88,1.03,1.62,2.91,5.37,9.56,13.91,29.35,6.53
Decode Duration (ms),0.37,0.00,32.31,18297.30,0.00,0.00,0.00,0.00,0.00,0.30,1.04,1.79,4.22,0.98
Effective Concurrency,120.30,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,7.07
Effective Decode Concurrency,0.41,0.00,21.00,,,,,,0.00,,1.00,2.00,5.00,1.02
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),115.58,11.26,362.97,5644370.65,18.97,57.71,101.42,110.32,118.40,127.10,136.35,142.74,159.05,24.32
Effective Prefill Concurrency,119.89,0.00,128.00,,,,,,121.00,,127.00,128.00,128.00,7.24
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.52,1.00,4.00,74077.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,48834.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,51.90,1749.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90
HTTP Connection Overhead (ms),0.04,0.00,86.75,2067.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18
HTTP Connection Reused (ratio),1.00,0.00,1.00,48696.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,569269.00,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,834945.53,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,38.75,318.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37
HTTP Duration (excl. conn) (ms),110.76,8.93,233.73,5408621.89,16.37,54.79,97.72,106.39,114.00,121.97,130.33,135.75,146.81,23.00
HTTP Receiving (ms),0.38,0.00,32.31,18474.47,0.00,0.00,0.00,0.00,0.00,0.30,1.05,1.79,4.25,0.99
HTTP Sending (ms),0.37,0.05,53.12,17967.29,0.09,0.12,0.14,0.17,0.20,0.24,0.49,1.13,3.29,1.11
HTTP Total Time (ms),110.80,8.93,265.84,5410689.55,16.37,54.79,97.72,106.40,114.01,121.98,130.38,135.88,147.27,23.09
HTTP Waiting (TTFB) (ms),110.01,8.52,233.48,5372180.13,16.13,54.16,97.00,105.75,113.26,121.18,129.47,134.85,145.81,22.87
Inter Chunk Latency (ms),0.01,0.00,32.31,18297.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15
Request Latency (ms),110.90,8.99,233.84,5415601.58,16.43,54.87,97.85,106.54,114.14,122.11,130.49,135.92,147.02,23.01
Time to First Output Token (ms),110.52,8.68,233.84,5397304.28,16.32,54.40,97.49,106.20,113.76,121.70,130.09,135.45,146.60,22.97
Time to First Token (ms),110.52,8.68,233.84,5397304.28,16.32,54.40,97.49,106.20,113.76,121.70,130.09,135.45,146.60,22.97
Time to Second Token (ms),0.00,0.00,3.45,24.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,48834.00
Request Throughput (requests/sec),1084.75


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
