Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),4.55,0.40,175.62,218719.21,0.73,0.89,1.04,1.63,2.87,5.25,9.25,13.27,29.07,5.77
Decode Duration (ms),0.43,0.00,34.06,20810.11,0.00,0.00,0.00,0.00,0.16,0.33,1.20,1.95,4.79,1.13
Effective Concurrency,120.56,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,7.53
Effective Decode Concurrency,0.46,0.00,19.00,,,,,,0.00,,1.00,2.00,5.00,1.08
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),117.65,18.03,307.45,5654675.10,48.90,89.49,102.31,111.05,118.78,126.44,134.59,140.74,157.90,18.43
Effective Prefill Concurrency,120.09,0.00,128.00,,,,,,122.00,,127.00,128.00,128.00,7.72
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.56,1.00,5.00,75056.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,48064.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,18.63,717.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34
HTTP Connection Overhead (ms),0.02,0.00,31.97,874.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48
HTTP Connection Reused (ratio),1.00,0.00,1.00,47926.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,560292.94,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,821791.77,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.57,0.64
HTTP DNS Lookup (ms),0.00,0.00,14.32,156.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
HTTP Duration (excl. conn) (ms),112.95,12.29,305.26,5428694.51,44.38,83.64,98.47,107.31,114.70,121.84,128.77,133.70,145.59,17.70
HTTP Receiving (ms),0.44,0.00,34.06,20984.67,0.00,0.00,0.00,0.00,0.17,0.33,1.20,1.96,4.81,1.13
HTTP Sending (ms),0.35,0.06,31.50,16775.09,0.10,0.14,0.15,0.18,0.20,0.24,0.45,1.13,3.28,0.70
HTTP Total Time (ms),112.97,12.29,305.26,5429569.01,44.45,83.90,98.47,107.31,114.71,121.84,128.77,133.70,145.59,17.66
HTTP Waiting (TTFB) (ms),112.16,12.00,298.87,5390934.75,43.97,82.70,97.79,106.60,113.96,121.00,127.96,132.91,144.31,17.66
Inter Chunk Latency (ms),0.01,0.00,34.06,20810.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.17
Request Latency (ms),113.10,12.35,305.35,5435801.36,44.47,83.75,98.62,107.46,114.84,121.99,128.93,133.90,145.69,17.70
Time to First Output Token (ms),112.66,12.20,299.26,5414991.25,44.38,83.40,98.23,107.07,114.42,121.49,128.46,133.40,144.79,17.64
Time to First Token (ms),112.66,12.20,299.26,5414991.25,44.38,83.40,98.23,107.07,114.42,121.49,128.46,133.40,144.79,17.64
Time to Second Token (ms),0.00,0.00,2.47,20.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.08
Request Count,48064.00
Request Throughput (requests/sec),1065.97


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
